trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260521211553654806,success,,,,27.292524,28,3428,1014,1248
2,113,20260521211553654806,success,,,,26.163378,36,3097,503,1332
3,213,20260521211553654806,success,,,,27.369242,32,2925,479,3034
4,313,20260521211553654806,success,,,,26.760429,57,3663,725,1208
5,413,20260521211553654806,success,,,,28.142287,19,3057,1064,3124
6,513,20260521211553654806,success,,,,26.210355,42,3164,305,1375
7,613,20260521211553654806,success,,,,26.125056,27,3148,557,1117
8,713,20260521211553654806,success,,,,27.835330,51,2976,311,3241
9,813,20260521211553654806,success,,,,33.380387,35,4247,904,4145
10,913,20260521211553654806,success,,,,25.016650,18,2860,398,524
11,1013,20260521211553654806,success,,,,29.175552,43,4371,424,1640
12,1113,20260521211553654806,success,,,,30.460485,49,6375,525,898
13,1213,20260521211553654806,success,,,,33.990111,70,5357,823,5359
14,1313,20260521211553654806,success,,,,30.134421,65,5600,955,855
15,1413,20260521211553654806,success,,,,33.548388,47,5648,958,5491
16,1513,20260521211553654806,success,,,,29.913623,40,5362,1405,1875
17,1613,20260521211553654806,success,,,,32.804239,30,5072,1030,5272
18,1713,20260521211553654806,success,,,,29.692676,88,5348,850,2010
19,1813,20260521211553654806,success,,,,29.723608,97,5548,1273,1336
20,1913,20260521211553654806,success,,,,32.037141,86,4949,491,5321
21,2013,20260521211553654806,success,,,,29.682757,33,5010,931,2035
22,2113,20260521211553654806,success,,,,29.643238,89,5081,1061,1930
23,2213,20260521211553654806,success,,,,32.530855,45,5012,550,5490
24,2313,20260521211553654806,success,,,,29.189130,71,5155,865,1575
25,2413,20260521211553654806,success,,,,32.852564,64,5490,564,5310
26,2513,20260521211553654806,success,,,,29.586918,44,5462,500,1849
27,2613,20260521211553654806,success,,,,31.765190,50,6990,549,2056
28,2713,20260521211553654806,success,,,,30.511626,90,5947,535,916
29,2813,20260521211553654806,success,,,,33.346679,26,5319,499,5594
30,2913,20260521211553654806,success,,,,34.122698,89,6105,563,5463
