trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260522021657999145,success,,,,43.577376,148,6424,936,13869
2,113,20260522021657999145,success,,,,54.042492,126,7505,828,23326
3,213,20260522021657999145,success,,,,44.358389,76,7029,1663,13529
4,313,20260522021657999145,success,,,,31.903398,257,6394,996,2461
5,413,20260522021657999145,success,,,,42.739134,75,6415,944,13367
6,513,20260522021657999145,success,,,,32.085294,215,6415,879,2279
7,613,20260522021657999145,success,,,,32.837598,210,6456,913,2566
8,713,20260522021657999145,success,,,,32.856062,189,6607,1342,2823
9,813,20260522021657999145,success,,,,43.611082,198,6380,1870,13231
10,913,20260522021657999145,success,,,,42.951045,199,6577,856,13140
11,1013,20260522021657999145,success,,,,44.944824,149,6288,3645,13104
12,1113,20260522021657999145,success,,,,53.148543,101,6319,950,23645
13,1213,20260522021657999145,success,,,,42.545685,147,6050,932,13438
14,1313,20260522021657999145,success,,,,53.358849,114,6824,946,23344
15,1413,20260522021657999145,success,,,,53.352517,228,6419,1006,23809
16,1513,20260522021657999145,success,,,,52.348105,61,6366,905,23157
17,1613,20260522021657999145,success,,,,43.323638,79,6469,923,13921
18,1713,20260522021657999145,success,,,,53.614225,193,6358,1752,23183
19,1813,20260522021657999145,success,,,,44.178123,248,6674,1686,13505
20,1913,20260522021657999145,success,,,,42.111732,265,10520,1049,5638
21,2013,20260522021657999145,success,,,,55.629203,160,6995,1721,23624
22,2113,20260522021657999145,success,,,,42.969322,82,6315,1290,13342
23,2213,20260522021657999145,success,,,,43.139186,64,6418,1356,13492
24,2313,20260522021657999145,success,,,,53.645133,210,6652,846,23794
25,2413,20260522021657999145,success,,,,53.475309,106,6553,944,23482
26,2513,20260522021657999145,success,,,,52.683389,145,6193,777,23695
27,2613,20260522021657999145,success,,,,43.245681,64,6668,978,13445
28,2713,20260522021657999145,success,,,,43.384227,202,6338,1337,13536
29,2813,20260522021657999145,success,,,,43.072087,114,6488,893,13390
30,2913,20260522021657999145,success,,,,46.056841,116,6806,3774,13211
31,3013,20260522021657999145,success,,,,53.798319,70,6310,2140,23273
32,3113,20260522021657999145,success,,,,42.871684,244,6271,895,13401
33,3213,20260522021657999145,success,,,,54.367197,240,6166,2028,23880
