trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260522012152795440,success,,,,37.594496,20,480,220,15446
2,113,20260522012152795440,success,,,,27.904287,14,410,182,6468
3,213,20260522012152795440,success,,,,27.270066,21,390,180,6031
4,313,20260522012152795440,success,,,,28.274996,17,392,197,6888
5,413,20260522012152795440,success,,,,27.398061,19,423,176,5897
6,513,20260522012152795440,success,,,,27.757848,17,518,230,5971
7,613,20260522012152795440,success,,,,35.673849,25,399,183,14418
8,713,20260522012152795440,success,,,,28.289887,17,405,169,6487
9,813,20260522012152795440,success,,,,26.972161,29,385,190,5649
10,913,20260522012152795440,success,,,,27.755049,22,404,189,6274
11,1013,20260522012152795440,success,,,,28.284987,21,376,187,6872
12,1113,20260522012152795440,success,,,,36.968896,21,425,316,15460
13,1213,20260522012152795440,success,,,,28.874491,19,408,296,7190
14,1313,20260522012152795440,success,,,,28.732913,22,558,241,6502
15,1413,20260522012152795440,success,,,,28.058970,13,427,180,6577
16,1513,20260522012152795440,success,,,,27.684407,15,428,706,5841
17,1613,20260522012152795440,success,,,,29.226800,20,483,540,7192
18,1713,20260522012152795440,success,,,,27.677253,17,421,176,6271
19,1813,20260522012152795440,success,,,,27.341939,18,404,418,5733
20,1913,20260522012152795440,success,,,,31.885073,15,448,219,10550
21,2013,20260522012152795440,success,,,,32.941463,34,833,777,9924
22,2113,20260522012152795440,success,,,,28.115949,18,408,276,5838
23,2213,20260522012152795440,success,,,,27.348152,29,419,348,5738
24,2313,20260522012152795440,success,,,,28.903623,20,386,179,7469
25,2413,20260522012152795440,success,,,,38.052046,32,859,827,10630
26,2513,20260522012152795440,success,,,,34.068579,29,1017,362,9981
27,2613,20260522012152795440,success,,,,34.390638,30,870,1221,10505
28,2713,20260522012152795440,success,,,,33.045523,41,765,332,9914
29,2813,20260522012152795440,success,,,,34.879509,41,950,552,12232
30,2913,20260522012152795440,success,,,,33.695645,32,820,387,11308
31,3013,20260522012152795440,success,,,,34.931939,21,758,847,12020
32,3113,20260522012152795440,success,,,,32.172962,40,756,318,9873
33,3213,20260522012152795440,success,,,,32.111368,29,767,320,9831
34,3313,20260522012152795440,success,,,,47.645778,26,770,266,25409
35,3413,20260522012152795440,success,,,,32.577558,26,820,301,9745
36,3513,20260522012152795440,success,,,,27.159089,18,390,200,5800
37,3613,20260522012152795440,success,,,,32.544288,26,967,370,10146
38,3713,20260522012152795440,success,,,,33.571070,27,779,338,11212
39,3813,20260522012152795440,success,,,,48.399383,22,770,531,25997
40,3913,20260522012152795440,success,,,,32.581051,26,865,293,9880
41,4013,20260522012152795440,success,,,,33.867096,28,769,997,10910
42,4113,20260522012152795440,success,,,,35.297646,23,763,309,12235
43,4213,20260522012152795440,success,,,,32.300114,29,804,350,10018
44,4313,20260522012152795440,success,,,,32.472765,32,852,335,10094
45,4413,20260522012152795440,success,,,,33.413526,38,770,363,11082
46,4513,20260522012152795440,success,,,,34.579934,36,821,326,11936
47,4613,20260522012152795440,success,,,,32.144971,21,770,530,9675
48,4713,20260522012152795440,success,,,,33.156369,32,820,988,10148
49,4813,20260522012152795440,success,,,,34.490584,31,842,474,11937
50,4913,20260522012152795440,success,,,,50.244155,26,1004,545,27401
51,5013,20260522012152795440,success,,,,32.914726,26,834,343,10047
52,5113,20260522012152795440,success,,,,32.522118,34,874,323,9764
53,5213,20260522012152795440,success,,,,36.196190,27,809,311,13521
54,5313,20260522012152795440,success,,,,33.042529,38,838,408,10100
55,5413,20260522012152795440,success,,,,32.845994,39,854,541,9909
56,5513,20260522012152795440,success,,,,32.994104,26,794,527,9976
57,5613,20260522012152795440,success,,,,32.345686,33,735,318,9915
58,5713,20260522012152795440,success,,,,35.135259,41,805,686,12418
59,5813,20260522012152795440,success,,,,32.938728,28,796,938,10046
60,5913,20260522012152795440,success,,,,33.037563,38,765,818,10010
61,6013,20260522012152795440,success,,,,33.419066,24,730,571,11018
62,6113,20260522012152795440,success,,,,33.674627,26,819,321,11018
63,6213,20260522012152795440,success,,,,34.258279,44,758,458,11866
64,6313,20260522012152795440,success,,,,32.243794,25,763,278,9811
65,6413,20260522012152795440,success,,,,36.282841,27,776,933,12098
66,6513,20260522012152795440,success,,,,32.523086,23,823,474,9768
67,6613,20260522012152795440,success,,,,32.499094,26,850,562,9888
68,6713,20260522012152795440,success,,,,32.643894,27,827,781,9706
69,6813,20260522012152795440,success,,,,32.395809,30,807,317,9998
70,6913,20260522012152795440,success,,,,48.850340,28,748,643,25958
71,7013,20260522012152795440,success,,,,32.545567,27,791,310,10117
72,7113,20260522012152795440,success,,,,33.971678,61,843,304,11412
73,7213,20260522012152795440,success,,,,34.072607,44,767,313,11843
74,7313,20260522012152795440,success,,,,32.130071,24,827,309,9807
75,7413,20260522012152795440,success,,,,32.740541,34,781,1014,9887
76,7513,20260522012152795440,success,,,,33.006044,25,834,1087,9941
77,7613,20260522012152795440,success,,,,32.366873,28,827,332,9976
78,7713,20260522012152795440,success,,,,32.189977,27,826,308,9707
79,7813,20260522012152795440,success,,,,32.738968,36,743,950,9939
80,7913,20260522012152795440,success,,,,33.309113,42,817,757,10496
81,8013,20260522012152795440,success,,,,33.457612,20,744,312,11073
82,8113,20260522012152795440,success,,,,32.184671,33,743,495,9605
83,8213,20260522012152795440,success,,,,32.468705,22,808,340,10105
84,8313,20260522012152795440,success,,,,32.201855,45,783,316,9826
85,8413,20260522012152795440,success,,,,34.506237,40,743,298,12371
86,8513,20260522012152795440,success,,,,33.264368,23,735,1348,10119
87,8613,20260522012152795440,success,,,,33.218103,42,784,873,10156
88,8713,20260522012152795440,success,,,,34.665877,37,821,347,12114
89,8813,20260522012152795440,success,,,,32.882207,26,824,305,10005
90,8913,20260522012152795440,success,,,,33.715371,37,777,352,10494
91,9013,20260522012152795440,success,,,,33.142460,37,746,981,9957
92,9113,20260522012152795440,success,,,,32.869553,28,804,897,9933
93,9213,20260522012152795440,success,,,,32.639013,37,785,739,9974
94,9313,20260522012152795440,success,,,,32.344033,28,780,310,10074
95,9413,20260522012152795440,success,,,,35.450869,26,766,330,13046
96,9513,20260522012152795440,success,,,,32.315789,31,818,468,9780
97,9613,20260522012152795440,success,,,,31.871274,33,776,310,9632
98,9713,20260522012152795440,success,,,,32.179702,29,745,327,9779
99,9813,20260522012152795440,success,,,,33.388737,31,761,316,11235
100,9913,20260522012152795440,success,,,,33.079853,41,778,383,9908
