trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260521220700530298,success,,,,28.250066,29,1275,857,4527
2,113,20260521220700530298,success,,,,23.782985,23,1220,317,828
3,213,20260521220700530298,success,,,,27.908539,24,1246,1231,4424
4,313,20260521220700530298,success,,,,23.731785,32,1232,314,844
5,413,20260521220700530298,success,,,,27.348576,35,1173,642,4403
6,513,20260521220700530298,success,,,,27.995573,30,1174,595,4378
7,613,20260521220700530298,success,,,,27.361923,33,1200,325,4395
8,713,20260521220700530298,success,,,,25.260855,43,1170,334,858
9,813,20260521220700530298,success,,,,27.193416,51,995,334,4460
10,913,20260521220700530298,success,,,,23.656014,34,1210,363,873
11,1013,20260521220700530298,success,,,,27.319552,45,1238,301,4402
12,1113,20260521220700530298,success,,,,27.425935,42,1367,360,4425
13,1213,20260521220700530298,success,,,,23.794662,28,1354,297,850
14,1313,20260521220700530298,success,,,,24.032491,35,1215,808,760
15,1413,20260521220700530298,success,,,,27.347506,28,1309,309,4466
16,1513,20260521220700530298,success,,,,23.875775,21,1208,332,996
17,1613,20260521220700530298,success,,,,23.942523,25,1236,297,868
18,1713,20260521220700530298,success,,,,27.725464,29,1207,918,4366
19,1813,20260521220700530298,success,,,,27.475096,28,1196,518,4475
20,1913,20260521220700530298,success,,,,23.340886,33,1171,307,717
21,2013,20260521220700530298,success,,,,23.670878,43,1288,528,893
22,2113,20260521220700530298,success,,,,27.271773,30,1223,347,4490
23,2213,20260521220700530298,success,,,,27.181813,25,1238,356,4458
24,2313,20260521220700530298,success,,,,23.480590,38,1158,328,746
25,2413,20260521220700530298,success,,,,26.772603,24,1205,283,4287
26,2513,20260521220700530298,success,,,,27.279415,29,1218,302,4444
27,2613,20260521220700530298,success,,,,23.477146,30,1281,322,773
28,2713,20260521220700530298,success,,,,24.072278,37,1245,913,751
29,2813,20260521220700530298,success,,,,27.409482,25,1197,596,4612
30,2913,20260521220700530298,success,,,,23.538987,28,1212,309,758
31,3013,20260521220700530298,success,,,,23.699245,34,1213,559,864
32,3113,20260521220700530298,success,,,,27.581239,39,1155,295,4615
33,3213,20260521220700530298,success,,,,23.472995,45,1199,321,750
34,3313,20260521220700530298,success,,,,23.494469,42,1239,320,817
35,3413,20260521220700530298,success,,,,24.157971,20,1169,525,867
36,3513,20260521220700530298,success,,,,27.464393,35,1274,292,4415
37,3613,20260521220700530298,success,,,,23.541199,43,1177,311,813
38,3713,20260521220700530298,success,,,,23.538852,24,1180,338,872
39,3813,20260521220700530298,success,,,,23.542306,30,1174,307,830
40,3913,20260521220700530298,success,,,,27.175613,70,1198,310,4422
41,4013,20260521220700530298,success,,,,23.469729,47,1212,356,797
42,4113,20260521220700530298,success,,,,24.339724,34,1194,822,726
43,4213,20260521220700530298,success,,,,23.563461,27,1219,330,849
44,4313,20260521220700530298,success,,,,23.602905,29,1208,305,839
45,4413,20260521220700530298,success,,,,27.031144,24,1171,289,4599
46,4513,20260521220700530298,success,,,,23.927132,34,1356,608,757
47,4613,20260521220700530298,success,,,,26.983556,35,1171,298,4391
48,4713,20260521220700530298,success,,,,27.325166,25,1214,546,4545
49,4813,20260521220700530298,success,,,,23.676485,33,1308,339,962
50,4913,20260521220700530298,success,,,,27.619950,27,1205,307,4401
51,5013,20260521220700530298,success,,,,27.845982,25,1132,329,4581
52,5113,20260521220700530298,success,,,,23.530999,28,1263,301,770
53,5213,20260521220700530298,success,,,,23.428417,32,1152,341,857
54,5313,20260521220700530298,success,,,,26.987606,31,1206,332,4452
55,5413,20260521220700530298,success,,,,27.219010,47,1195,303,4594
56,5513,20260521220700530298,success,,,,23.747672,33,1188,302,931
57,5613,20260521220700530298,success,,,,27.312199,22,1313,322,4534
58,5713,20260521220700530298,success,,,,27.485558,30,1136,498,4314
59,5813,20260521220700530298,success,,,,27.118762,42,1314,312,4400
60,5913,20260521220700530298,success,,,,24.222787,30,1493,331,967
