trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260521224927414019,success,,,,22.403523,37,169,204,658
2,113,20260521224927414019,success,,,,22.273415,29,192,214,613
3,213,20260521224927414019,success,,,,23.829599,26,172,189,1197
4,313,20260521224927414019,success,,,,22.174811,27,192,223,711
5,413,20260521224927414019,success,,,,23.185417,31,241,311,1209
6,513,20260521224927414019,success,,,,24.215599,36,186,184,2572
7,613,20260521224927414019,success,,,,23.158338,25,176,205,1261
8,713,20260521224927414019,success,,,,22.917760,38,170,454,1228
9,813,20260521224927414019,success,,,,22.551773,38,166,207,1179
10,913,20260521224927414019,success,,,,24.893827,30,187,208,2538
11,1013,20260521224927414019,success,,,,24.033503,23,182,222,2568
12,1113,20260521224927414019,success,,,,23.214786,28,168,545,1207
13,1213,20260521224927414019,success,,,,23.029814,27,215,552,1210
14,1313,20260521224927414019,success,,,,23.105938,31,204,233,1407
15,1413,20260521224927414019,success,,,,22.564742,31,155,227,1191
16,1513,20260521224927414019,success,,,,22.630213,32,172,214,1248
17,1613,20260521224927414019,success,,,,22.854327,28,189,218,1456
18,1713,20260521224927414019,success,,,,23.146791,32,166,448,1460
19,1813,20260521224927414019,success,,,,23.106907,25,171,215,806
20,1913,20260521224927414019,success,,,,24.110957,30,191,195,2586
21,2013,20260521224927414019,success,,,,23.389264,22,165,506,1700
22,2113,20260521224927414019,success,,,,22.815993,31,190,201,1251
23,2213,20260521224927414019,success,,,,24.186038,28,197,217,2619
24,2313,20260521224927414019,success,,,,23.961917,39,160,205,2561
25,2413,20260521224927414019,success,,,,22.879244,44,206,236,1165
26,2513,20260521224927414019,success,,,,24.057993,22,195,226,2614
27,2613,20260521224927414019,success,,,,23.090451,26,215,392,1263
28,2713,20260521224927414019,success,,,,24.233790,27,170,429,1281
29,2813,20260521224927414019,success,,,,22.074357,40,164,184,644
30,2913,20260521224927414019,success,,,,22.374221,47,186,209,804
31,3013,20260521224927414019,success,,,,24.366236,48,190,176,2632
32,3113,20260521224927414019,success,,,,22.825580,25,169,347,1218
33,3213,20260521224927414019,success,,,,23.279214,23,191,256,1376
34,3313,20260521224927414019,success,,,,24.112008,35,182,210,2536
35,3413,20260521224927414019,success,,,,22.284564,35,183,201,667
36,3513,20260521224927414019,success,,,,23.937178,27,169,213,2509
37,3613,20260521224927414019,success,,,,22.726738,48,201,228,1236
38,3713,20260521224927414019,success,,,,22.545691,34,171,211,1167
39,3813,20260521224927414019,success,,,,24.208792,34,187,193,2566
40,3913,20260521224927414019,success,,,,24.104855,24,167,325,2514
41,4013,20260521224927414019,success,,,,24.326509,27,175,450,2510
42,4113,20260521224927414019,success,,,,24.349119,39,197,244,2605
43,4213,20260521224927414019,success,,,,22.218208,40,164,319,592
44,4313,20260521224927414019,success,,,,23.916423,29,189,1330,1254
45,4413,20260521224927414019,success,,,,24.130121,41,186,209,2637
46,4513,20260521224927414019,success,,,,24.371072,33,200,216,2548
47,4613,20260521224927414019,success,,,,23.157254,31,169,200,1719
48,4713,20260521224927414019,success,,,,24.396116,39,178,315,2516
49,4813,20260521224927414019,success,,,,24.194389,42,174,311,2592
50,4913,20260521224927414019,success,,,,24.186089,34,163,464,2578
51,5013,20260521224927414019,success,,,,22.240747,37,172,204,641
52,5113,20260521224927414019,success,,,,23.210261,32,171,200,1176
53,5213,20260521224927414019,success,,,,22.959111,26,180,516,1200
54,5313,20260521224927414019,success,,,,23.668998,34,176,219,1221
55,5413,20260521224927414019,success,,,,22.740482,37,193,190,1193
56,5513,20260521224927414019,success,,,,22.844665,27,197,183,1267
57,5613,20260521224927414019,success,,,,24.333919,39,182,195,2607
58,5713,20260521224927414019,success,,,,22.777535,27,192,356,643
59,5813,20260521224927414019,success,,,,22.757933,26,177,212,1228
60,5913,20260521224927414019,success,,,,22.370278,22,188,480,619
61,6013,20260521224927414019,success,,,,24.464973,39,198,227,2700
62,6113,20260521224927414019,success,,,,24.169034,33,166,305,2651
63,6213,20260521224927414019,success,,,,23.208885,39,184,208,1654
64,6313,20260521224927414019,success,,,,22.386334,50,209,219,710
65,6413,20260521224927414019,success,,,,22.913395,26,193,213,1232
66,6513,20260521224927414019,success,,,,22.045225,23,168,222,770
67,6613,20260521224927414019,success,,,,22.747508,35,164,204,1233
68,6713,20260521224927414019,success,,,,24.178343,29,163,208,2640
69,6813,20260521224927414019,success,,,,43.280784,25,185,200,2797
70,6913,20260521224927414019,success,,,,22.265943,27,179,214,623
71,7013,20260521224927414019,success,,,,23.236964,27,168,660,1194
72,7113,20260521224927414019,success,,,,24.424938,34,183,215,2691
73,7213,20260521224927414019,success,,,,23.701703,26,182,363,1644
74,7313,20260521224927414019,success,,,,22.233052,29,191,191,662
75,7413,20260521224927414019,success,,,,22.432754,24,163,377,633
76,7513,20260521224927414019,success,,,,24.387105,41,166,217,2583
77,7613,20260521224927414019,success,,,,24.357372,31,158,354,2522
78,7713,20260521224927414019,success,,,,24.371553,25,176,354,2560
79,7813,20260521224927414019,success,,,,24.454444,24,174,320,2508
80,7913,20260521224927414019,success,,,,22.949137,24,176,339,1262
81,8013,20260521224927414019,success,,,,22.820921,48,206,205,1219
82,8113,20260521224927414019,success,,,,22.832122,27,197,208,1287
83,8213,20260521224927414019,success,,,,22.913879,37,173,204,1256
84,8313,20260521224927414019,success,,,,22.792281,28,178,235,1323
85,8413,20260521224927414019,success,,,,23.955456,39,162,315,2506
86,8513,20260521224927414019,success,,,,24.422360,34,185,206,2601
87,8613,20260521224927414019,success,,,,24.383699,28,197,222,2554
88,8713,20260521224927414019,success,,,,24.523257,27,190,563,2497
89,8813,20260521224927414019,success,,,,24.148649,48,193,320,2573
90,8913,20260521224927414019,success,,,,23.092217,27,180,325,1210
91,9013,20260521224927414019,success,,,,23.084575,38,188,213,1212
92,9113,20260521224927414019,success,,,,23.398205,26,167,229,1643
93,9213,20260521224927414019,success,,,,27.206036,40,165,398,2583
94,9313,20260521224927414019,success,,,,23.523827,25,182,434,1357
95,9413,20260521224927414019,success,,,,23.172247,43,168,517,1249
96,9513,20260521224927414019,success,,,,22.986099,33,187,239,1311
97,9613,20260521224927414019,success,,,,22.830183,32,208,185,1219
98,9713,20260521224927414019,success,,,,24.661175,33,181,347,2488
99,9813,20260521224927414019,success,,,,23.377234,29,167,256,1618
100,9913,20260521224927414019,success,,,,22.603179,38,162,167,667
