trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260521232859134547,success,,,,40.329883,58,6946,910,10480
2,113,20260521232859134547,success,,,,33.634744,82,6054,599,5209
3,213,20260521232859134547,success,,,,33.055950,72,6194,554,4701
4,313,20260521232859134547,success,,,,34.062752,74,5865,964,5671
5,413,20260521232859134547,success,,,,32.902943,60,6044,556,4943
6,513,20260521232859134547,success,,,,39.756596,85,6474,1809,9837
7,613,20260521232859134547,success,,,,32.380223,39,5835,489,4483
8,713,20260521232859134547,success,,,,34.183605,64,5888,1330,5339
9,813,20260521232859134547,success,,,,38.678444,99,6782,937,9554
10,913,20260521232859134547,success,,,,34.098976,30,5729,1303,5398
11,1013,20260521232859134547,success,,,,37.608754,58,6105,499,9752
12,1113,20260521232859134547,success,,,,35.320705,97,5954,2206,5461
13,1213,20260521232859134547,success,,,,32.997005,61,6237,543,4403
14,1313,20260521232859134547,success,,,,33.787838,106,6195,542,4858
15,1413,20260521232859134547,success,,,,38.130578,71,6111,932,9764
16,1513,20260521232859134547,success,,,,33.513224,82,5972,519,5444
17,1613,20260521232859134547,success,,,,37.578740,74,5997,547,9688
18,1713,20260521232859134547,success,,,,34.045417,67,6002,556,5369
19,1813,20260521232859134547,success,,,,33.768300,72,5933,509,5807
20,1913,20260521232859134547,success,,,,34.734800,54,6135,538,5597
21,2013,20260521232859134547,success,,,,32.232897,51,5747,578,4320
22,2113,20260521232859134547,success,,,,38.813130,71,6156,1622,9565
23,2213,20260521232859134547,success,,,,33.315801,85,6067,965,4955
24,2313,20260521232859134547,success,,,,33.503350,73,6015,552,5347
25,2413,20260521232859134547,success,,,,32.964365,121,6366,582,4468
26,2513,20260521232859134547,success,,,,33.881231,31,5882,881,5727
27,2613,20260521232859134547,success,,,,37.803700,98,5919,547,9912
28,2713,20260521232859134547,success,,,,33.418200,66,5861,530,5592
29,2813,20260521232859134547,success,,,,37.682102,44,6076,493,9511
30,2913,20260521232859134547,success,,,,39.198285,108,6365,1700,9572
31,3013,20260521232859134547,success,,,,34.214964,75,6112,1214,4914
32,3113,20260521232859134547,success,,,,33.884744,40,6529,556,5308
33,3213,20260521232859134547,success,,,,32.537449,90,5740,528,4821
34,3313,20260521232859134547,success,,,,33.546799,77,5929,528,5575
35,3413,20260521232859134547,success,,,,34.186242,85,6804,508,5642
36,3513,20260521232859134547,success,,,,38.698631,88,6058,1413,9688
37,3613,20260521232859134547,success,,,,37.433780,62,6295,541,5003
38,3713,20260521232859134547,success,,,,35.642277,75,5962,494,5508
39,3813,20260521232859134547,success,,,,33.886899,67,6131,962,4978
40,3913,20260521232859134547,success,,,,38.025720,90,6221,501,9701
41,4013,20260521232859134547,success,,,,37.894856,86,6052,537,9869
42,4113,20260521232859134547,success,,,,34.910533,73,6305,563,6134
43,4213,20260521232859134547,success,,,,32.735471,43,5765,943,4676
44,4313,20260521232859134547,success,,,,33.132930,60,6110,807,4767
