trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260522002746295549,success,,,,33.899170,33,1995,280,10318
2,113,20260522002746295549,success,,,,27.187943,34,1661,1231,2893
3,213,20260522002746295549,success,,,,23.691742,60,1751,306,421
4,313,20260522002746295549,success,,,,26.029625,49,1715,296,2851
5,413,20260522002746295549,success,,,,26.301065,40,1725,282,2956
6,513,20260522002746295549,success,,,,26.599640,51,1687,273,3088
7,613,20260522002746295549,success,,,,41.274843,74,1722,329,17217
8,713,20260522002746295549,success,,,,30.007268,39,1678,773,6163
9,813,20260522002746295549,success,,,,38.069921,27,1737,519,14602
10,913,20260522002746295549,success,,,,52.167502,64,1967,339,28007
11,1013,20260522002746295549,success,,,,23.978350,31,1815,307,432
12,1113,20260522002746295549,success,,,,50.151465,34,1587,282,26906
13,1213,20260522002746295549,success,,,,26.289681,57,1674,274,2929
14,1313,20260522002746295549,success,,,,23.763468,56,1768,269,403
15,1413,20260522002746295549,success,,,,26.371471,52,1766,542,2884
16,1513,20260522002746295549,success,,,,39.417682,47,1823,340,15996
17,1613,20260522002746295549,success,,,,27.062348,68,1686,458,2886
18,1713,20260522002746295549,success,,,,38.437887,83,1620,420,14537
19,1813,20260522002746295549,success,,,,26.365050,56,1739,287,2888
20,1913,20260522002746295549,success,,,,26.000737,33,1655,304,2880
21,2013,20260522002746295549,success,,,,26.651942,59,1734,293,2868
22,2113,20260522002746295549,success,,,,26.710804,76,1792,318,2957
23,2213,20260522002746295549,success,,,,23.813697,55,1628,520,404
24,2313,20260522002746295549,success,,,,26.222072,50,1710,316,2795
25,2413,20260522002746295549,success,,,,47.722865,38,1670,266,24427
26,2513,20260522002746295549,success,,,,26.342118,38,1654,272,2883
27,2613,20260522002746295549,success,,,,26.654335,65,1686,700,2824
28,2713,20260522002746295549,success,,,,26.265891,66,1717,324,3000
29,2813,20260522002746295549,success,,,,47.494200,45,1694,615,23965
30,2913,20260522002746295549,success,,,,39.540831,41,1737,276,15954
31,3013,20260522002746295549,success,,,,33.723054,69,1771,252,10407
32,3113,20260522002746295549,success,,,,27.893807,46,1590,290,4793
33,3213,20260522002746295549,success,,,,23.786792,38,1767,280,455
34,3313,20260522002746295549,success,,,,26.437099,58,1741,326,2961
