trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,random_removal_ms,not_in_largest_mcs_removal_ms,weakening_ms,power_index_ms
1,13,20260522033342710913,success,,,,128.728039,55,23702,2983,79910
2,113,20260522033342710913,success,,,,134.854832,71,23838,1603,87379
3,213,20260522033342710913,success,,,,137.118755,54,23276,5942,86121
4,313,20260522033342710913,success,,,,126.101410,52,23306,1676,79219
5,413,20260522033342710913,success,,,,136.097035,76,22744,1455,89126
6,513,20260522033342710913,success,,,,139.975976,61,24881,1512,90862
7,613,20260522033342710913,success,,,,165.511891,69,23127,1518,118121
8,713,20260522033342710913,success,,,,128.557384,111,23210,2752,79763
9,813,20260522033342710913,success,,,,145.919202,36,24869,16718,80836
10,913,20260522033342710913,success,,,,142.585615,77,22801,3678,93054
11,1013,20260522033342710913,success,,,,131.106450,51,24000,1526,83125
12,1113,20260522033342710913,success,,,,136.967422,131,22608,2573,89494
13,1213,20260522033342710913,success,,,,139.163614,98,26144,1522,89476
14,1313,20260522033342710913,success,,,,127.323086,50,24397,2555,77689
15,1413,20260522033342710913,success,,,,139.101921,120,24266,2796,90319
16,1513,20260522033342710913,success,,,,128.261803,124,23219,1509,80912
17,1613,20260522033342710913,success,,,,138.590747,196,23173,3568,89832
18,1713,20260522033342710913,success,,,,103.216996,89,15224,931,64070
19,1813,20260522033342710913,success,,,,102.272067,55,14251,2601,62867
20,1913,20260522033342710913,success,,,,134.197553,87,26463,1619,82415
21,2013,20260522033342710913,success,,,,150.614064,72,28611,1562,96884
22,2113,20260522033342710913,memory_limit_exceeded,,,,49.130353,,,,
23,2213,20260522033342710913,success,,,,144.645657,78,26780,4294,91065
24,2313,20260522033342710913,success,,,,114.251752,108,18026,2114,51528
25,2413,20260522033342710913,success,,,,95.503813,43,14129,1363,57732
26,2513,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,340.754113,126,26607,6100,300059
27,2613,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,321.561268,48,12883,768,300061
28,2713,20260522033342710913,success,,,,93.119118,29,12635,1582,56293
29,2813,20260522033342710913,success,,,,84.195386,30,12557,741,49614
30,2913,20260522033342710913,success,,,,100.587518,32,12851,818,65761
31,3013,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,320.035351,28,12512,1320,300049
32,3113,20260522033342710913,success,,,,81.803069,69,12967,1489,44050
33,3213,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,320.355509,29,12711,1743,300018
34,3313,20260522033342710913,success,,,,86.913026,47,12522,837,51063
35,3413,20260522033342710913,success,,,,89.515853,31,12836,794,54664
36,3513,20260522033342710913,success,,,,78.718288,34,12727,1367,43552
37,3613,20260522033342710913,success,,,,82.818733,39,12482,743,48505
38,3713,20260522033342710913,success,,,,80.008442,28,12403,2020,44272
39,3813,20260522033342710913,success,,,,85.329871,61,12858,781,50333
40,3913,20260522033342710913,success,,,,77.916845,31,12841,822,43153
41,4013,20260522033342710913,success,,,,81.306338,50,13349,1111,45610
42,4113,20260522033342710913,memory_limit_exceeded,,,,23.027311,,,,
43,4213,20260522033342710913,success,,,,84.775351,31,12760,788,50154
44,4313,20260522033342710913,success,,,,84.118777,69,12468,1837,48500
45,4413,20260522033342710913,success,,,,85.712228,28,12942,786,50841
46,4513,20260522033342710913,success,,,,85.655992,54,13023,754,50462
47,4613,20260522033342710913,success,,,,97.843431,22,12294,822,63102
48,4713,20260522033342710913,success,,,,97.857095,23,12129,760,63796
49,4813,20260522033342710913,success,,,,83.330067,73,12463,831,48787
50,4913,20260522033342710913,success,,,,78.382223,31,12850,908,43429
51,5013,20260522033342710913,success,,,,76.284245,37,12490,786,42053
52,5113,20260522033342710913,success,,,,77.217679,28,12373,1224,42524
53,5213,20260522033342710913,success,,,,88.597852,44,12832,2934,51563
54,5313,20260522033342710913,success,,,,83.085085,27,12347,1489,47700
55,5413,20260522033342710913,success,,,,76.733724,84,12260,735,42647
56,5513,20260522033342710913,success,,,,84.421463,27,12512,836,49890
57,5613,20260522033342710913,success,,,,82.399683,38,12461,827,48116
58,5713,20260522033342710913,success,,,,84.866582,69,12589,1477,49766
59,5813,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,319.706301,42,12023,1591,300044
60,5913,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,321.112829,61,12680,766,300041
61,6013,20260522033342710913,success,,,,87.084351,24,12735,1368,50181
62,6113,20260522033342710913,success,,,,86.859179,52,12881,1959,49711
63,6213,20260522033342710913,success,,,,87.385227,42,12758,753,52471
64,6313,20260522033342710913,success,,,,81.393528,54,12189,731,47222
65,6413,20260522033342710913,success,,,,78.863520,54,12916,1278,43184
66,6513,20260522033342710913,success,,,,81.877613,34,12810,753,47188
67,6613,20260522033342710913,success,,,,86.624368,24,12908,759,51713
68,6713,20260522033342710913,success,,,,83.112099,24,13020,1334,47311
69,6813,20260522033342710913,success,,,,85.686840,42,12767,1527,49528
70,6913,20260522033342710913,success,,,,77.317347,23,12578,784,42821
71,7013,20260522033342710913,success,,,,85.805178,62,12998,777,50177
72,7113,20260522033342710913,success,,,,78.983086,48,12940,841,43293
73,7213,20260522033342710913,success,,,,86.058957,30,12648,842,50998
74,7313,20260522033342710913,success,,,,84.114438,44,12017,1712,49129
75,7413,20260522033342710913,success,,,,78.769203,29,12729,1992,43144
76,7513,20260522033342710913,success,,,,83.979630,71,12396,1332,48477
77,7613,20260522033342710913,success,,,,77.073180,30,12299,812,42779
78,7713,20260522033342710913,success,,,,85.730175,36,12230,1958,50388
79,7813,20260522033342710913,success,,,,79.288788,28,12921,768,44295
80,7913,20260522033342710913,success,,,,79.897301,49,12820,2360,43325
81,8013,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,320.550424,33,12657,1753,300041
82,8113,20260522033342710913,time_limit_exceeded,timeout,power_index,Repair timeout: power-index exceeded 300 seconds,321.797653,33,13150,877,300029
83,8213,20260522033342710913,success,,,,84.211986,31,13128,929,46020
84,8313,20260522033342710913,success,,,,87.767919,26,12770,1284,50389
85,8413,20260522033342710913,success,,,,85.209486,46,13250,1272,49137
86,8513,20260522033342710913,success,,,,99.804985,64,12741,802,65087
87,8613,20260522033342710913,success,,,,83.568234,43,12416,1851,48270
88,8713,20260522033342710913,success,,,,88.890781,39,12763,778,53663
89,8813,20260522033342710913,success,,,,80.374469,31,12568,788,45512
