ontology,comparison,mean,sd,n,ci_low,ci_high,reject_h0
bctt,iic_power_vs_random,0.9784921235975865,0.01895272084253915,100,0.9747314926001414,0.9822527545950317,True
co-wheat,iic_power_vs_random,0.994783473822375,0.04997940292190539,100,0.9848664759715937,1.0047004716731562,True
elig,iic_power_vs_random,0.7467819307441562,0.2483833339294775,100,0.6974972885767143,0.7960665729115981,True
hom,iic_power_vs_random,0.9683570929290071,0.07509049623723063,100,0.9534575093753122,0.983256676482702,True
ogr,iic_power_vs_random,0.9662912407932684,0.11848490999564187,100,0.9427812641012141,0.9898012174853228,True
pe,iic_power_vs_random,0.9828857349866817,0.08537007177661424,100,0.9659464606289511,0.9998250093444124,True
taxrank,iic_power_vs_random,0.9967630727036516,0.0038806286573888453,100,0.9959930717871713,0.9975330736201319,True
xeo,iic_power_vs_random,0.9700523186194555,0.08371594632201951,100,0.9534412586384305,0.9866633786004805,True
overall,iic_power_vs_random,0.9505508735245226,0.13514929678330584,800,0.9411714691489604,0.9599302779000848,True
bctt,iic_power_vs_not_in_largest_mcs,0.9590881189473283,0.02961079714158471,100,0.9532126943834963,0.9649635435111602,True
co-wheat,iic_power_vs_not_in_largest_mcs,0.6927966101694915,0.24233403319218796,100,0.644712280508867,0.7408809398301159,True
elig,iic_power_vs_not_in_largest_mcs,0.6173568921740632,0.2511933543785326,100,0.5675146809856894,0.667199103362437,True
hom,iic_power_vs_not_in_largest_mcs,0.8204763450053667,0.20938158866504775,100,0.7789304952474385,0.8620221947632949,True
ogr,iic_power_vs_not_in_largest_mcs,0.6903386454183266,0.2392445156375465,100,0.6428673430681164,0.7378099477685367,True
pe,iic_power_vs_not_in_largest_mcs,0.5,0.0,100,0.5,0.5,False
taxrank,iic_power_vs_not_in_largest_mcs,0.8952906942051877,0.19869063899040845,100,0.8558661608045571,0.9347152276058183,True
xeo,iic_power_vs_not_in_largest_mcs,0.9311247927756563,0.14463543885708838,100,0.9024259838176187,0.9598236017336939,True
overall,iic_power_vs_not_in_largest_mcs,0.7633090123369274,0.24239214587450233,800,0.7464869199714566,0.7801311047023982,True
bctt,iic_power_vs_weakening,0.8956639928371757,0.11485567791850192,100,0.8728741345259916,0.9184538511483598,True
co-wheat,iic_power_vs_weakening,0.7274557125638104,0.24768395828070258,100,0.6783098416981511,0.7766015834294696,True
elig,iic_power_vs_weakening,0.5337529954648406,0.2712194526512366,100,0.47993717190978324,0.5875688190198979,False
hom,iic_power_vs_weakening,0.8539173077333915,0.20910338013114355,100,0.8124266605843682,0.8954079548824148,True
ogr,iic_power_vs_weakening,0.7571264725525788,0.24337547402789908,100,0.7088354984359251,0.8054174466692325,True
pe,iic_power_vs_weakening,0.5737820431193744,0.176525094264697,100,0.5387556346773342,0.6088084515614146,True
taxrank,iic_power_vs_weakening,0.8694715238175296,0.24726242746146349,100,0.8204092938115853,0.9185337538234738,True
xeo,iic_power_vs_weakening,0.9115627326118908,0.1948866119593634,100,0.8728930007031895,0.9502324645205921,True
overall,iic_power_vs_weakening,0.7653415975875739,0.2566772067387654,800,0.7475281174341942,0.7831550777409536,True
