ontology,repair_method,mean_ms,sd_ms,median_ms,min_ms,max_ms,n,ci_low_ms,ci_high_ms
bctt,random_removal_ms,56.11,21.06214709862317,50.5,18.0,106.0,100,51.930813069010526,60.28918693098947
bctt,not_in_largest_mcs_removal_ms,5149.51,712.9072856120829,5304.5,2860.0,6990.0,100,5008.0537278979045,5290.966272102096
bctt,weakening_ms,736.69,324.1165676017494,557.0,305.0,2152.0,100,672.3782412274604,801.0017587725397
bctt,power_index_ms,2834.72,1713.4921225793291,2020.5,524.0,5594.0,100,2494.72598839683,3174.7140116031696
co-wheat,random_removal_ms,144.41,68.05094571070421,137.5,23.0,297.0,100,130.90721599493338,157.9127840050666
co-wheat,not_in_largest_mcs_removal_ms,6635.8,975.8907974178506,6486.0,3752.0,11234.0,100,6442.162093686632,6829.437906313368
co-wheat,weakening_ms,1259.83,731.5017907004601,949.0,521.0,4792.0,100,1114.6841746776327,1404.9758253223672
co-wheat,power_index_ms,15546.08,7459.803896574866,13701.5,2279.0,26043.0,100,14065.893065290575,17026.266934709427
elig,random_removal_ms,28.49,8.358743078871719,27.0,13.0,61.0,100,26.83144402889471,30.14855597110529
elig,not_in_largest_mcs_removal_ms,713.5,171.7973024564505,773.0,376.0,1017.0,100,679.4116880229092,747.5883119770908
elig,weakening_ms,457.39,266.7027208581332,336.5,169.0,1348.0,100,404.47039402390715,510.3096059760928
elig,power_index_ms,10457.51,3851.38306915237,9978.5,5649.0,27401.0,100,9693.312042713495,11221.707957286506
hom,random_removal_ms,34.36,8.859760354284619,33.0,20.0,70.0,100,32.602031331803516,36.11796866819648
hom,not_in_largest_mcs_removal_ms,1223.6,62.88196414029554,1211.5,995.0,1493.0,100,1211.1228540803775,1236.0771459196224
hom,weakening_ms,442.62,236.4397452445615,331.5,283.0,1428.0,100,395.7052249456967,489.5347750543033
hom,power_index_ms,2391.02,1808.2328668083826,893.0,717.0,4640.0,100,2032.2273693263103,2749.8126306736895
ogr,random_removal_ms,32.16,6.913199203865258,31.0,22.0,50.0,100,30.78827129499968,33.53172870500031
ogr,not_in_largest_mcs_removal_ms,181.27,14.942891286494726,180.5,155.0,241.0,100,178.30500618036243,184.2349938196376
ogr,weakening_ms,288.44,150.75683276807928,222.0,167.0,1330.0,100,258.52657368540986,318.35342631459014
ogr,power_index_ms,1656.16,740.0534067541915,1284.0,592.0,2797.0,100,1509.3173485239056,1803.0026514760946
pe,random_removal_ms,71.48,20.841140355391573,72.5,26.0,121.0,100,67.34466560164404,75.61533439835597
pe,not_in_largest_mcs_removal_ms,6109.09,243.71323996314467,6062.5,5729.0,6946.0,100,6060.732005793908,6157.4479942060925
pe,weakening_ms,809.75,433.8293751783952,562.0,457.0,2615.0,100,723.6688399674885,895.8311600325115
pe,power_index_ms,6624.72,2229.0111776074586,5553.0,953.0,10480.0,100,6182.435823611568,7067.004176388433
taxrank,random_removal_ms,48.7,16.13484841370793,46.0,21.0,89.0,100,45.49849602662435,51.901503973375654
taxrank,not_in_largest_mcs_removal_ms,1737.46,152.94479231065534,1740.0,866.0,2119.0,100,1707.1124350440334,1767.8075649559667
taxrank,weakening_ms,416.18,198.67395654715546,324.5,186.0,1231.0,100,376.7587767580391,455.6012232419609
taxrank,power_index_ms,8763.94,8626.07316915385,3247.0,380.0,29226.0,100,7052.339939214017,10475.540060785985
xeo,random_removal_ms,50.22,28.263400325859557,42.5,21.0,196.0,100,44.61192819639564,55.82807180360436
xeo,not_in_largest_mcs_removal_ms,15125.16,4697.999866093887,12834.0,12017.0,28611.0,100,14192.974902714579,16057.34509728542
xeo,weakening_ms,1544.61,1756.8134427497598,1234.5,718.0,16718.0,100,1196.020098612103,1893.1999013878967
xeo,power_index_ms,57622.5,16741.95551042743,50376.0,41537.0,118121.0,100,54300.53280735043,60944.46719264957
overall,random_removal_ms,58.24125,45.57034527956336,42.0,13.0,297.0,800,55.07865347834491,61.40384652165509
overall,not_in_largest_mcs_removal_ms,4609.42375,4941.942620089924,2489.5,155.0,28611.0,800,4266.45135326627,4952.396146733729
overall,weakening_ms,744.43875,826.8302071694026,541.0,167.0,16718.0,800,687.0564694587549,801.8210305412451
overall,power_index_ms,13237.08125,18851.092976540145,5391.0,380.0,118121.0,800,11928.809374699129,14545.35312530087
