B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
1.0,1.0,0.6666666666666666,1.0,1.0,0.6363636363636364,1.0,1.0,0.6363636363636364,0.8157894736842105,0.59375,0.59375,1.0,1.0,0.6363636363636364,1.0,0.4375,0.42857142857142855,0.6944444444444444,0.4523809523809524,0.4523809523809524,1.0,0.4375,0.42857142857142855,1.0,0.4375,0.42857142857142855,20260624134028346645
0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.038461538461538464,0.0,0.0,1.0,0.4375,0.4375,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.1,0.0,0.037037037037037035,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.027777777777777776,0.037037037037037035,1.0,0.4375,1.0,1.0,0.4375,1.0,20260624134028346645
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.4375,0.4375,1.0,0.4375,0.4375,1.0,0.5,0.5,1.0,0.4375,0.4375,1.0,0.4375,0.4375,20260624134028346645
0.6538461538461539,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7272727272727273,0.4375,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7272727272727273,0.4375,1.0,20260624134028346645
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7352941176470589,0.4375,1.0,1.0,1.0,1.0,0.7352941176470589,0.4375,1.0,1.0,1.0,1.0,20260624134028346645
0.7906976744186046,0.4375,0.4375,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.7906976744186046,0.4375,0.4375,0.7906976744186046,0.4375,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,1.0,1.0,0.4375,20260624134028346645
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4375,0.4375,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.4375,0.4375,20260624134028346645
0.5,0.5,0.0,1.0,1.0,0.6363636363636364,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.6363636363636364,0.64,1.0,0.42857142857142855,1.0,1.0,0.5,0.64,1.0,0.42857142857142855,0.64,1.0,0.42857142857142855,20260624134028346645
0.4642857142857143,0.6521739130434783,0.3181818181818182,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.4375,1.0,0.3181818181818182,0.4375,1.0,0.3181818181818182,20260624134028346645
0.5,0.0,0.0,1.0,0.5,0.5625,1.0,1.0,0.6818181818181818,1.0,0.5,0.5625,1.0,0.4375,0.5,1.0,1.0,0.6818181818181818,1.0,0.5,0.5625,1.0,0.4375,0.5,1.0,0.4375,0.5,20260624134028346645
0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,1.0,1.0,0.4375,1.0,1.0,0.5,1.0,1.0,0.4375,1.0,1.0,1.0,1.0,20260624134028346645
1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4642857142857143,0.4642857142857143,0.4642857142857143,1.0,1.0,1.0,0.4375,0.4375,0.4375,20260624134028346645
0.782608695652174,0.6428571428571429,0.6428571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.4375,1.0,20260624134028346645
