B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,0.62,1.0,1.0,0.5681818181818182,1.0,1.0,0.62,1.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.62,20260624134028346645
0.5,0.5,0.5294117647058824,1.0,1.0,0.7894736842105263,1.0,1.0,0.7894736842105263,1.0,1.0,0.7083333333333334,1.0,1.0,0.8541666666666666,1.0,1.0,0.8541666666666666,1.0,1.0,0.8541666666666666,1.0,1.0,0.8541666666666666,1.0,1.0,0.8541666666666666,20260624134028346645
1.0,1.0,0.8,1.0,1.0,0.7307692307692307,1.0,1.0,0.7307692307692307,0.5,0.5,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5,0.5,0.0,1.0,1.0,0.7307692307692307,1.0,1.0,0.7307692307692307,20260624134028346645
1.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,20260624134028346645
1.0,1.0,0.5,1.0,1.0,0.8529411764705882,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.8529411764705882,1.0,1.0,0.5,1.0,1.0,0.8529411764705882,1.0,1.0,0.8529411764705882,20260624134028346645
1.0,1.0,0.6190476190476191,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,0.8333333333333334,1.0,1.0,0.7307692307692307,20260624134028346645
0.5,0.5,0.0,1.0,1.0,0.62,1.0,1.0,0.5,1.0,1.0,0.2692307692307692,1.0,1.0,0.5,1.0,1.0,0.62,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.5,20260624134028346645
1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.8529411764705882,0.5,0.5,0.0,1.0,1.0,0.75,1.0,1.0,0.8529411764705882,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.8529411764705882,20260624134028346645
1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.8529411764705882,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.8529411764705882,1.0,1.0,0.75,20260624134028346645
1.0,1.0,0.1875,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.21875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,20260624134028346645
1.0,1.0,0.2692307692307692,1.0,1.0,0.62,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.62,1.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,20260624134028346645
