trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,98,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,16.725329,208,7232,943,1011,6918,,,,,,,
2,14298,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,21.260741,214,7242,1091,944,8472,2861,,,,,,
3,28498,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,16.314029,338,7080,3333,2261,2911,,,,,,,
4,42698,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,16.147087,268,7155,846,1752,5711,,,,,,,
5,56898,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,14.103305,208,7234,504,476,5263,,,,,,,
6,71098,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,14.797677,188,7213,1991,937,4073,,,,,,,
7,85298,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,14.512490,236,7132,1054,1828,3632,,,,,,,
8,99498,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,23.406986,125,7194,3528,8045,4123,,,,,,,
9,113698,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,11.666267,302,7095,537,547,2779,,,,,,,
10,127898,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ¬BIN_00000019 ⊑ Weather,15.067228,249,7185,1882,2383,2978,,,,,,,
