trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,144,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PctBodyFat ⊑ BodPod,114.479931,875,96718,4525,1082,10749,,,,,,,
2,14344,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PctBodyFat ⊑ BodPod,116.290315,128,97143,1214,1166,2438,12608,,,,,,
3,28544,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,111.053805,497,96278,1122,1170,11497,,,,,,,
4,42744,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PctBodyFat ⊑ BodPod,118.514408,392,96014,1249,1087,4427,13765,,,,,,
5,56944,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: PctBodyFat ⊑ BodPod,122.746741,893,96996,12204,1075,11079,,,,,,,
6,71144,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,112.492619,780,96986,1141,1187,11898,,,,,,,
7,85344,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,109.982117,977,96862,4002,1155,6525,,,,,,,
8,99544,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,138.646119,836,97046,1237,1936,23325,2392,301,10698,,,,
9,113744,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,111.014034,435,96144,1184,1167,11602,,,,,,,
10,127944,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ PctBodyFat,146.978781,1025,97709,1245,1239,24571,15189,235,4816,,,,
