trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,30,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,4.122707,66,180,679,816,2030,,,,,,,
2,14230,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,4.910647,92,160,461,722,3122,,,,,,,
3,28430,20260624134028346645,success,,,,81.574455,54,191,374,1672,3777,2641,616,3001,18897,167,28075,21472
4,42630,20260624134028346645,success,,,,57.166607,65,190,465,1820,7524,4794,197,30608,3367,99,3184,4325
5,56830,20260624134028346645,success,,,,67.441489,78,176,386,567,6407,5339,238,2861,2574,325,27649,20399
6,71030,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,14.444447,98,164,1039,665,4698,7404,,,,,,
7,85230,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,4.047007,94,163,841,202,2394,,,,,,,
8,99430,20260624134028346645,success,,,,106.002093,116,159,420,514,3747,2211,57,29698,18866,96,30137,19175
9,113630,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,3.691925,105,149,504,203,2374,,,,,,,
10,127830,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,3.843510,97,163,370,213,2647,,,,,,,
11,142030,20260624134028346645,success,,,,58.487560,117,154,3896,288,8078,2558,65,2863,18485,58,3489,17996
12,156230,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,12.831034,97,164,2662,1248,3868,4427,,,,,,
13,170430,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,3.475941,67,177,803,154,1922,,,,,,,
14,184630,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,9.926010,57,190,758,802,3741,4019,,,,,,
15,198830,20260624134028346645,success,,,,69.876750,90,165,4360,3728,3428,2317,113,2871,20929,56,28806,2540
16,213030,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,5.601694,66,180,1917,202,2881,,,,,,,
17,227230,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,4.333722,117,155,831,243,2641,,,,,,,
18,241430,20260624134028346645,success,,,,62.756134,122,145,360,726,8097,2927,34,26414,18074,120,2874,2417
19,255630,20260624134028346645,time_limit_exceeded,timeout,B1,Repair timeout: B1 exceeded 300 seconds,331.148777,73,177,549,330001,,,,,,,,
20,269830,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,93.301562,64,181,83302,1497,3563,4325,,,,,,
21,284030,20260624134028346645,success,,,,83.128378,97,158,546,354,3572,3507,36,25665,2119,84,28385,17999
22,298230,20260624134028346645,time_limit_exceeded,timeout,A3,Repair timeout: A3 exceeded 300 seconds,330.594985,60,184,330001,,,,,,,,,
23,312430,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,16.063282,91,158,369,5741,3750,5589,,,,,,
24,326630,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,3.605410,66,180,686,172,2145,,,,,,,
25,340830,20260624134028346645,success,,,,63.438723,56,181,2772,181,3916,3286,149,28511,2237,49,2961,18707
26,355030,20260624134028346645,success,,,,76.243027,99,150,945,421,4490,4569,224,2863,18523,67,25225,18066
27,369230,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,3.546738,112,156,523,243,2165,,,,,,,
28,383430,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,9.376794,72,181,864,316,3622,3968,,,,,,
29,397630,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,11.743890,86,160,447,226,5351,5075,34,,,,,
30,411830,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,4.126953,90,166,1115,183,2209,,,,,,,
31,426030,20260624134028346645,success,,,,62.700436,59,186,381,805,3962,3248,60,3018,2145,104,30437,17849
32,440230,20260624134028346645,success,,,,89.388603,46,205,1006,870,7235,3073,51,26500,2178,60,27700,19785
33,454430,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,62.929971,59,177,1476,166,60694,,,,,,,
34,468630,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ∃ SIO_000223.BiologicalResourceType ⊑ ∃ SIO_000223.⊥,53.084985,117,150,541,49931,1992,,,,,,,
35,482830,20260624134028346645,success,,,,74.328820,85,165,368,212,4143,4537,175,23116,17989,198,20007,2741
36,497030,20260624134028346645,success,,,,91.819101,126,135,1087,188,3735,6512,438,27854,21263,112,27112,2628
