trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,112,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,21.626817,258,12513,546,527,7367,,,,,,,
2,14312,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,16.070811,315,12444,514,523,1882,,,,,,,
3,28512,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,15.458693,377,12298,521,505,1377,,,,,,,
4,42712,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,18.580157,296,12586,932,559,3804,,,,,,,
5,56912,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,16.951955,215,12651,974,476,2238,,,,,,,
6,71112,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,18.764944,331,12377,567,882,4217,,,,,,,
7,85312,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,18.151526,214,12416,543,511,4085,,,,,,,
8,99512,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,18.104718,320,12471,581,975,3369,,,,,,,
9,113712,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,16.649834,257,12342,1081,508,2074,,,,,,,
10,127912,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ E77_Persistent_Item,17.769546,358,12577,966,816,2657,,,,,,,
