trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,141,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,55.368949,560,43786,1034,935,8586,,,,,,,
2,14341,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,55.026597,617,43413,2056,1857,6623,,,,,,,
3,28541,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer(IBD_cancer_incidence),59.373097,308,42482,1050,980,1259,12806,,,,,,
4,42741,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer(IBD_cancer_incidence),49.835173,971,43321,2046,1887,1146,,,,,,,
5,56941,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer(IBD_cancer_incidence),55.594657,446,42459,2066,1877,8279,,,,,,,
6,71141,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,55.872977,943,42530,1985,1811,8135,,,,,,,
7,85341,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer(IBD_cancer_incidence),54.622848,813,43483,940,2002,6919,,,,,,,
8,99541,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,53.892023,1249,42331,1034,964,7845,,,,,,,
9,113741,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,58.332902,595,43490,2099,1915,9746,,,,,,,
10,127941,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IBD_Cancer ⊑ ⊥,56.903963,584,42503,2137,1848,9352,,,,,,,
