trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,71,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,6.171417,163,688,1199,231,1766,847,55,858,,,,
2,14271,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,10.690856,201,663,244,526,2508,950,55,2004,409,78,2072,
3,28471,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,8.353482,85,737,405,1916,2423,925,58,919,,,,
4,42671,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,8.434221,179,703,241,369,2596,644,94,1958,1191,75,,
5,56871,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,4.227807,118,710,274,233,2535,,,,,,,
6,71071,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,3.166327,58,762,259,194,1516,,,,,,,
7,85271,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,3.242926,213,669,711,234,1060,,,,,,,
8,99471,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,3.074826,113,731,598,207,1067,,,,,,,
9,113671,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,4.275424,92,740,245,219,1839,784,,,,,,
10,127871,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Rwdihhpc7xM8enS7jpWAdc,3.057128,154,683,476,199,1177,,,,,,,
