trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,140,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CSSO_000147 ⊑ CSSO_000036,175.356618,667,155105,1626,1489,15984,,,,,,,
2,14340,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,182.113241,723,154068,1846,1519,6997,4625,459,4837,6356,,,
3,28540,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CSSO_000147 ⊑ CSSO_000036,181.725622,533,154269,4197,1724,18836,,,,,,,
4,42740,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CSSO_000147 ⊑ CSSO_000036,178.924892,370,152951,2618,5472,17030,,,,,,,
5,56940,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,171.315703,511,154966,3932,1908,3296,3101,772,2383,,,,
6,71140,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,178.249265,434,154746,1647,1531,19258,,,,,,,
7,85340,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,175.233867,661,154127,1603,1518,16841,,,,,,,
8,99540,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,178.538224,579,154698,3007,1824,17930,,,,,,,
9,113740,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CSSO_000147 ⊑ CSSO_000036,179.288214,205,157099,1788,2033,17668,,,,,,,
10,127940,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ CSSO_000147,177.749789,412,155621,1777,1515,17859,,,,,,,
