trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,38,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.194725,112,454,227,302,756,,,,,,,
2,14238,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,3.637227,53,492,390,895,1451,,,,,,,
3,28438,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.726552,109,454,490,140,704,497,,,,,,
4,42638,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,3.656159,96,460,571,241,1566,380,,,,,,
5,56838,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.299446,71,476,234,160,1005,,,,,,,
6,71038,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,3.008265,89,462,790,468,839,,,,,,,
7,85238,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.910861,81,478,364,147,576,455,60,388,,,,
8,99438,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,3.635239,120,442,223,173,1278,779,31,247,,,,
9,113638,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.498181,113,445,227,162,585,616,,,,,,
10,127838,20260624134028346645,success,,,,4.711611,56,480,488,260,1612,293,32,203,459,40,234,176
11,142038,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,3.011599,71,487,350,148,1604,,,,,,,
12,156238,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.475745,103,472,226,282,1046,,,,,,,
13,170438,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.363876,71,479,242,153,1068,,,,,,,
14,184638,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.560316,101,463,220,153,1292,,,,,,,
15,198838,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.474318,80,482,234,302,1031,,,,,,,
16,213038,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.076450,47,497,238,288,659,,,,,,,
17,227238,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,1.875327,52,506,377,176,417,,,,,,,
18,241438,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.236038,94,448,351,,,,,,,,,
19,255638,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.725365,101,462,664,347,810,,,,,,,
20,269838,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ DDIEM_0000023,2.324909,90,467,370,155,908,,,,,,,
