trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,64,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.750226,94,748,252,467,1820,,,,,,,
2,14264,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,5.836254,83,781,259,225,3092,1020,,,,,,
3,28464,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,5.582926,38,800,497,431,3108,,,,,,,
4,42664,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,10.058903,70,776,242,219,3063,1189,51,2648,491,,,
5,56864,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,11.762662,76,776,487,607,1345,805,64,2557,1835,138,2677,
6,71064,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,5.016337,85,755,409,410,2989,,,,,,,
7,85264,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,2.640096,122,743,261,198,952,,,,,,,
8,99464,20260624134028346645,success,,,,10.909822,61,769,693,212,1249,1136,44,2722,1786,81,749,927
9,113664,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.792142,89,735,243,392,1160,1809,,,,,,
10,127864,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.093748,68,775,270,195,936,488,,,,,,
11,142064,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.700863,127,714,241,210,3035,,,,,,,
12,156264,20260624134028346645,success,,,,12.347784,90,754,249,212,1299,1888,41,2488,1661,87,2857,204
13,170464,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.740884,129,726,487,213,1817,,,,,,,
14,184664,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,6.113118,143,728,264,230,2106,1824,44,401,,,,
15,198864,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,4.408568,126,718,248,668,1245,1049,,,,,,
16,213064,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.332204,74,763,260,1093,1781,,,,,,,
17,227264,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.511787,124,731,271,196,1834,,,,,,,
18,241464,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.742917,123,743,259,214,3032,,,,,,,
19,255664,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.668847,34,794,271,211,3003,,,,,,,
20,269864,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,6.140055,153,746,466,212,3204,997,,,,,,
21,284064,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,3.951852,133,735,264,430,2035,,,,,,,
22,298264,20260624134028346645,success,,,,11.492815,231,701,252,208,1207,1120,76,2586,910,68,2690,630
23,312464,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,5.214300,152,737,235,670,2103,958,,,,,,
24,326664,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,3.620938,95,739,240,216,1955,,,,,,,
25,340864,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.913121,57,797,248,210,1286,1885,50,,,,,
26,355064,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,4.725305,119,737,260,232,3024,,,,,,,
27,369264,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.545826,133,737,268,217,1834,,,,,,,
28,383464,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,8.339312,109,745,742,208,3071,1087,41,1435,,,,
29,397664,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ WAEC,14.189965,199,693,445,192,3179,1781,42,2692,1916,74,1614,965
30,411864,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,5.039274,125,743,494,202,3118,,,,,,,
31,426064,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,2.083491,52,777,900,,,,,,,,,
32,440264,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: WAEC ⊑ Educational_Qualification,3.546281,31,796,257,236,1855,,,,,,,
