trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,35,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.608525,103,149,469,161,1363,,,,,,,
2,14235,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,1.997329,134,127,288,158,926,,,,,,,
3,28435,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,1.974733,92,142,290,163,948,,,,,,,
4,42635,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,3.110214,81,148,313,157,2049,,,,,,,
5,56835,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.643660,48,181,295,328,1445,,,,,,,
6,71035,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.174793,87,147,480,153,948,,,,,,,
7,85235,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,303.483584,125,123,533,133,1434,711,300001,,,,,
8,99435,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.935595,76,151,280,193,1482,394,,,,,,
9,113635,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.524885,82,154,432,176,1332,,,,,,,
10,127835,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OWLClass_00000012615273587629 ⊑ ⊥,2.474515,43,175,303,170,1419,,,,,,,
