trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,97,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Exposure_to_pollutants_home ⊑ Agriculture_pesticide_Exposure,12.531426,137,5556,1579,817,3917,,,,,,,
2,14297,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Lung_cancer ⊑ toxin_induced_cancer_risk,12.582906,91,5522,1487,802,4096,,,,,,,
3,28497,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Environmental_Determinants_of_Health ⊑ Construction_dust_hazrad,9.491622,233,5476,872,814,1719,,,,,,,
4,42697,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Environmental_Determinants_of_Health,10.382497,172,5544,829,840,2605,,,,,,,
5,56897,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: toxin_induced_cancer_risk ⊑ Chronic_Disease,13.844929,156,5526,1913,1680,4036,,,,,,,
6,71097,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Exposure_to_pollutants_home ⊑ Agriculture_pesticide_Exposure,11.955187,183,5473,851,857,4191,,,,,,,
7,85297,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: toxin_induced_cancer_risk ⊑ Chronic_Disease,13.009354,104,5590,879,1519,4530,,,,,,,
8,99497,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Construction_dust_hazrad ⊑ Exposure_to_pollutants_workplace,14.618371,143,5566,1491,2108,4508,,,,,,,
9,113697,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Environmental_Determinants_of_Health ⊑ Construction_dust_hazrad,10.767543,194,5542,875,812,2931,,,,,,,
10,127897,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∀ affect_of.Chronic_Disease,17.479576,204,5545,1741,806,2231,4641,117,1775,,,,
