trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,96,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: glycosyltranseferase ⊑ protein_O-glucosyltransferase,34.820310,248,29855,1105,936,2298,,,,,,,
2,14296,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,36.867749,231,28896,3218,1932,2193,,,,,,,
3,28496,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ lectin,27.512601,73,22673,1806,1215,1344,,,,,,,
4,42696,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,34.717104,115,28289,2877,814,2214,,,,,,,
5,56896,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,30.921203,291,22587,1445,4189,1999,,,,,,,
6,71096,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,30.568135,211,25119,1255,1192,2399,,,,,,,
7,85296,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,41.154240,255,27013,9866,1423,2193,,,,,,,
8,99496,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,29.257923,313,23715,1274,1370,2189,,,,,,,
9,113696,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: core_protein ⊑ glycosyltranseferase,33.594698,104,29153,786,970,2185,,,,,,,
10,127896,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: glycosyltranseferase ⊑ protein_O-glucosyltransferase,33.473314,178,24421,2539,3672,2275,,,,,,,
