trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,107,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Ground_chicken_burgers ⊑ Ground_chicken,17.810482,338,13023,962,894,2207,,,,,,,
2,14307,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Ground_chicken_burgers ⊑ Ground_chicken,27.364148,318,12904,1461,1597,1281,8080,,,,,,
3,28507,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Ground_chicken_burgers ⊑ Ground_chicken,22.330334,195,12995,1698,916,6107,,,,,,,
4,42707,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,18.602884,97,12940,913,1632,2606,,,,,,,
5,56907,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,19.490038,355,12918,1011,2818,1978,,,,,,,
6,71107,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,20.075180,76,13021,1666,2787,2139,,,,,,,
7,85307,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,21.618837,260,13044,4100,1383,2431,,,,,,,
8,99507,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,19.111126,228,12896,1593,900,3101,,,,,,,
9,113707,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,22.189328,300,12956,2638,4708,1186,,,,,,,
10,127907,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Ground_chicken_burgers,19.953086,316,12736,1881,918,3696,,,,,,,
