trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,152,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,228.654734,1188,204414,4048,3531,14524,,,,,,,
2,14352,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,231.706865,1181,203183,3331,3094,20365,,,,,,,
3,28552,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,241.702840,1540,203625,5402,2792,6236,21472,,,,,,
4,42752,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,237.389073,511,201931,5890,8510,19865,,,,,,,
5,56952,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,223.228700,1550,202762,8987,3753,5719,,,,,,,
6,71152,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,230.135589,1008,203084,3685,5493,16368,,,,,,,
7,85352,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,215.852844,554,203707,3096,3263,4784,,,,,,,
8,99552,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,234.778232,1780,203935,5598,6347,16591,,,,,,,
9,113752,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,217.941259,1511,202207,3486,5594,4674,,,,,,,
10,127952,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ poor_ambulation,234.829799,1601,204305,6683,5914,15830,,,,,,,
