trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,61,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,5.507780,182,707,611,2014,1592,,,,,,,
2,14261,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,26.504856,228,691,3072,20912,1211,,,,,,,
3,28461,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,3.470560,161,708,333,289,1609,,,,,,,
4,42661,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,4.792231,167,716,2174,224,1138,,,,,,,
5,56861,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,5.557352,146,738,2816,252,1230,,,,,,,
6,71061,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,8.569778,75,770,2628,3169,1553,,,,,,,
7,85261,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,7.947600,155,717,2662,2814,1217,,,,,,,
8,99461,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,8.201925,204,703,1916,3747,1259,,,,,,,
9,113661,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,8.757612,102,751,711,5016,1809,,,,,,,
10,127861,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: CollectedDocument ⊑ ⊥,3.161709,67,789,333,270,1315,,,,,,,
