trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,84,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,10.087908,115,6041,525,449,2580,,,,,,,
2,14284,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,13.469221,37,6164,559,420,4520,1368,,,,,,
3,28484,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,19.233340,134,6133,535,441,7939,1178,205,1346,881,,,
4,42684,20260624134028346645,success,,,,23.188682,95,6059,525,454,4580,5431,200,624,402,287,1481,456
5,56884,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,10.585649,222,6187,540,448,2792,,,,,,,
6,71084,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,18.669627,292,6042,465,432,7905,745,183,604,395,220,970,
7,85284,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,10.290262,120,6132,480,398,2771,,,,,,,
8,99484,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,11.512481,63,6173,565,425,1218,1142,133,1406,,,,
9,113684,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,11.347177,96,6061,525,457,3817,,,,,,,
10,127884,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,15.006329,229,6003,458,463,7441,,,,,,,
11,142084,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,12.054812,366,5958,514,698,4108,,,,,,,
12,156284,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,15.186395,255,6075,452,465,7535,,,,,,,
13,170484,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,11.827396,188,6045,529,414,1222,1228,182,667,939,,,
14,184684,20260624134028346645,success,,,,18.265646,292,6039,494,408,5179,704,161,1329,424,221,813,777
15,198884,20260624134028346645,success,,,,14.964214,97,6143,536,457,1991,728,174,619,412,230,1332,861
16,213084,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,13.257510,228,6073,524,817,4650,,,,,,,
17,227284,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,18.974155,286,5979,470,460,2000,2810,167,1294,796,194,1349,1490
18,241484,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,11.038898,129,6050,557,432,1961,1522,,,,,,
19,255684,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,10.409930,255,6146,444,478,2680,,,,,,,
20,269884,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,13.631595,119,6030,451,411,2013,765,168,666,825,187,1577,
21,284084,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,10.479608,300,6059,509,435,2762,,,,,,,
22,298284,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,11.236831,162,6115,497,461,3609,,,,,,,
23,312484,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GECKO_0000073 ⊑ IAO_0000300,10.868011,66,6090,500,427,1945,1443,,,,,,
24,326684,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GECKO_0000073,16.314216,113,6150,470,446,4503,2834,157,1232,,,,
25,340884,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IAO_0000300 ⊑ ⊥,11.115314,216,5956,534,471,1972,1563,,,,,,
