trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,134,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,60.393077,500,27585,1908,942,1978,16893,279,958,8545,,,
2,14334,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,55.037297,408,27587,976,941,24427,,,,,,,
3,28534,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GRO_0007071 ⊑ GRO_0007069,75.670735,780,27459,1067,993,25309,16035,,,,,,
4,42734,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GRO_0007071 ⊑ GRO_0007069,42.507635,606,27566,1039,991,11833,,,,,,,
5,56934,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GRO_0007071 ⊑ GRO_0007069,55.450469,360,27688,1168,1163,24377,,,,,,,
6,71134,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,42.330856,573,27502,5473,1036,7307,,,,,,,
7,85334,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,38.546045,431,27714,1182,1029,7759,,,,,,,
8,99534,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,44.182933,393,27534,1061,1129,13117,,,,,,,
9,113734,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ GRO_0007071,43.256114,618,27616,1183,967,12388,,,,,,,
10,127934,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: GRO_0007071 ⊑ GRO_0007069,56.447910,401,27609,1120,1103,24993,,,,,,,
