trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,81,20260624134028346645,success,,,,21.995967,94,5945,898,399,3378,1002,72,2312,567,133,2440,1516
2,14281,20260624134028346645,success,,,,18.017541,223,5883,474,451,2086,1745,76,2474,1577,132,1065,715
3,28481,20260624134028346645,success,,,,16.482569,110,5952,830,424,2152,1026,132,1082,754,171,1143,1627
4,42681,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,15.869034,219,5908,441,922,3243,1752,107,1008,576,157,1111,
5,56881,20260624134028346645,success,,,,16.877920,51,5954,465,456,2930,979,112,958,873,220,1170,1586
6,71081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,14.179179,165,5920,941,439,2991,1013,86,2214,,,,
7,85281,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.749832,104,5918,453,427,2162,1086,146,1048,,,,
8,99481,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,8.840841,51,5961,914,435,1104,,,,,,,
9,113681,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,15.855991,107,5910,809,430,1767,1217,145,1034,1455,136,1504,709
10,127881,20260624134028346645,success,,,,19.877252,188,5940,457,420,2072,1002,127,2329,1587,151,2616,1467
11,142081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.639361,222,5909,459,448,1682,1899,123,516,,,,
12,156281,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,9.563291,256,5902,1383,420,1221,,,,,,,
13,170481,20260624134028346645,success,,,,16.974320,140,5946,477,797,1677,1252,93,1027,885,165,2688,678
14,184681,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.046381,120,5910,980,780,1875,,,,,,,
15,198881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.761678,39,6011,461,444,3052,,,,,,,
16,213081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.223407,34,5979,478,414,3388,909,75,551,,,,
17,227281,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,9.868637,182,5924,463,924,1970,,,,,,,
18,241481,20260624134028346645,success,,,,17.793841,262,5855,453,434,2996,1006,84,949,1474,146,1566,1534
19,255681,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,13.494714,139,5934,490,448,3212,1872,74,933,,,,
20,269881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.092019,113,5978,452,1264,1886,,,,,,,
21,284081,20260624134028346645,success,,,,16.838471,38,5997,444,433,3194,1013,80,965,1394,149,1414,725
22,298281,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,15.113292,40,5991,466,437,3086,1314,91,1367,578,144,1186,
23,312481,20260624134028346645,success,,,,16.680903,83,5927,507,916,1781,1015,104,2529,721,133,1034,894
24,326681,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,16.502070,100,5960,444,426,3327,953,83,1006,1469,124,1095,986
25,340881,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,13.596252,199,5923,457,424,3054,1928,112,1038,,,,
26,355081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,13.983847,165,5933,444,451,3238,960,175,2214,,,,
27,369281,20260624134028346645,success,,,,20.464270,198,5943,490,448,3199,1962,106,2270,880,123,2486,990
28,383481,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,11.119546,241,5919,832,799,2934,,,,,,,
29,397681,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,13.565525,128,5976,996,421,2143,1162,100,2213,,,,
30,411881,20260624134028346645,success,,,,18.893174,108,5977,1456,1674,3341,1779,139,934,655,131,1041,593
31,426081,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,15.543258,130,5969,471,859,1773,2011,94,1185,1399,210,1030,
32,440281,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.806932,54,5953,451,431,2972,1041,84,1426,,,,
33,454481,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.631713,89,5927,456,788,2984,998,,,,,,
34,468681,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.652797,253,5870,483,436,3072,,,,,,,
35,482881,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,15.878529,149,5912,478,1587,3008,1973,121,1014,708,,,
36,497081,20260624134028346645,success,,,,18.153794,114,5923,471,709,1753,2016,105,2450,654,151,1254,1475
37,511281,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.637617,240,5877,496,433,1776,1790,95,543,,,,
38,525481,20260624134028346645,success,,,,19.320509,234,5889,836,2122,3074,979,92,2299,798,202,1100,628
39,539681,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,9.096879,114,5948,463,415,1777,,,,,,,
40,553881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,9.145573,120,5966,451,420,1781,,,,,,,
41,568081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.029898,122,5965,454,425,1771,2081,208,587,,,,
42,582281,20260624134028346645,success,,,,17.487535,32,5986,436,440,3374,1958,83,1043,832,177,1142,796
43,596481,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.697283,167,5910,492,831,2259,941,116,597,,,,
44,610681,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.803545,250,5847,1311,688,1752,994,143,1069,341,,,
45,624881,20260624134028346645,success,,,,20.312474,121,5935,1339,380,1710,2001,110,2322,766,224,1598,1503
46,639081,20260624134028346645,success,,,,16.430823,203,5908,491,411,2126,1185,104,2378,611,170,1140,705
47,653281,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,16.575403,266,5842,452,454,1765,2038,144,984,722,205,2551,728
48,667481,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.429297,161,5946,509,470,1938,1317,113,582,,,,
49,681681,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,9.315780,174,5932,484,425,1930,,,,,,,
50,695881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,11.089799,257,5867,2368,386,1801,,,,,,,
51,710081,20260624134028346645,success,,,,17.589470,68,5949,469,434,3137,1878,79,1028,1528,162,1106,740
52,724281,20260624134028346645,success,,,,18.431025,65,5972,449,452,3224,1856,77,1022,1460,171,1023,1521
53,738481,20260624134028346645,success,,,,18.101851,239,5893,881,815,1779,1859,124,951,620,130,1203,1668
54,752681,20260624134028346645,success,,,,18.876346,187,5926,829,422,1831,1880,105,2334,1512,158,1238,635
55,766881,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,13.942750,130,5981,479,445,3169,1024,80,2230,,,,
56,781081,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,13.201969,101,5954,1406,415,3185,1753,,,,,,
57,795281,20260624134028346645,success,,,,17.178102,136,5952,494,825,1667,2540,174,1106,646,170,1495,852
58,809481,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,10.532667,185,5918,487,420,3134,,,,,,,
59,823681,20260624134028346645,success,,,,17.977869,146,5965,447,701,1791,961,102,2481,1537,146,1126,1513
60,837881,20260624134028346645,success,,,,16.505345,224,5868,834,410,2933,979,98,1054,852,174,1020,805
61,852081,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,9.547749,234,5872,479,434,2142,,,,,,,
62,866281,20260624134028346645,success,,,,20.653910,69,5956,1240,771,3293,985,109,2341,1417,127,1078,663
63,880481,20260624134028346645,success,,,,17.616171,75,5965,804,411,1861,1891,148,1130,1534,134,1015,1614
64,894681,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.812383,200,5884,427,396,3111,1197,77,1123,,,,
65,908881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,9.337699,159,5930,474,432,1943,,,,,,,
66,923081,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,16.036622,119,5951,1747,405,1727,1842,100,1143,865,182,1093,456
67,937281,20260624134028346645,success,,,,17.552979,129,5974,878,443,2958,1062,85,979,669,193,2448,641
68,951481,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.752187,165,5907,871,422,2162,1006,87,739,,,,
69,965681,20260624134028346645,success,,,,20.934149,123,5963,472,1542,3021,1959,148,993,713,133,2305,800
70,979881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,11.608188,81,5905,488,408,4336,,,,,,,
71,994081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.141168,257,5890,1634,411,1764,1191,118,482,,,,
72,1008281,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,11.774064,167,5912,505,430,3205,1166,,,,,,
73,1022481,20260624134028346645,success,,,,19.407242,245,5896,464,448,4472,1035,86,2304,1445,127,1134,640
74,1036681,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: s_Shelters ⊑ _day_care,12.329919,54,5967,466,435,4289,736,,,,,,
75,1050881,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.369620,192,5910,449,437,1879,1123,,,,,,
76,1065081,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.393795,124,5953,459,442,3184,1167,87,577,,,,
77,1079281,20260624134028346645,success,,,,16.261274,63,5962,462,435,1739,1781,109,1043,674,140,1113,1622
78,1093481,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,9.160628,109,5912,488,421,1856,,,,,,,
79,1107681,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,11.295299,313,5807,453,840,1768,1069,123,539,,,,
80,1121881,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,9.423610,94,5936,909,423,1678,,,,,,,
81,1136081,20260624134028346645,success,,,,19.293602,282,5892,442,444,2975,1954,87,1384,609,252,2258,1614
82,1150281,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.110706,97,5931,469,413,2198,2014,92,510,,,,
83,1164481,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: _day_care ⊑ Homeless_mental_health_care,10.732788,88,5950,900,405,3000,,,,,,,
84,1178681,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ s_Shelters,12.534429,189,5907,477,844,1742,1918,98,960,,,,
