trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,51,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.857916,150,880,435,,,,,,,,,
2,14251,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,320.132041,147,878,1915,268,8061,8420,300020,,,,,
3,28451,20260624134028346645,success,,,,51.743285,170,848,2059,794,10614,5578,182,6906,8520,143,10295,5171
4,42651,20260624134028346645,success,,,,47.666682,102,914,940,477,10485,8608,306,7360,5385,173,7034,5389
5,56851,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,317.051255,243,811,993,865,7932,5601,300185,,,,,
6,71051,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,328.979679,139,867,697,452,8097,5621,116,7279,5235,300049,,
7,85251,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,356.577205,189,854,40794,519,8115,5635,300054,,,,,
8,99451,20260624134028346645,success,,,,52.738407,143,894,733,367,10384,8594,212,7473,5431,152,9722,8174
9,113651,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,347.332706,255,816,481,9046,8184,8478,1018,10124,8466,300026,,
10,127851,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,317.381137,164,860,1978,311,8023,5619,300007,,,,,
11,142051,20260624134028346645,success,,,,53.130411,123,889,430,649,8030,8572,113,9639,8174,375,10022,5570
12,156251,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,321.767878,119,894,435,3582,8003,8180,300111,,,,,
13,170451,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,316.410460,174,862,485,355,8113,5535,300472,,,,,
14,184651,20260624134028346645,success,,,,51.335728,194,835,3039,835,7938,8600,114,9604,5340,144,7531,5290
15,198851,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,334.222414,181,852,446,361,7976,5589,117,10150,8062,300046,,
16,213051,20260624134028346645,success,,,,45.770878,257,802,792,1391,7996,5580,105,7516,5447,144,7597,7669
17,227251,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,318.243026,244,843,2280,586,8056,5540,300284,,,,,
18,241451,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,316.133553,93,887,478,385,8034,5587,300244,,,,,
19,255651,20260624134028346645,success,,,,54.766612,155,853,2228,308,8023,8458,216,10148,5440,162,9782,8538
20,269851,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,319.270398,97,909,598,629,8041,8398,300175,,,,,
21,284051,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,317.295232,224,824,1949,300,8100,5474,300004,,,,,
22,298251,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,321.240690,111,918,2278,1526,10331,5646,300002,,,,,
23,312451,20260624134028346645,success,,,,51.706026,175,852,1927,296,10993,5572,179,10315,5442,184,9752,5525
24,326651,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,317.523516,201,836,819,1551,8131,5537,300022,,,,,
25,340851,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,317.540707,147,887,1861,307,7941,5664,300316,,,,,
26,355051,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,335.992319,70,909,2971,2217,7844,5565,109,7377,8469,300014,,
27,369251,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,20.438451,138,868,439,2768,7866,5557,2385,,,,,
28,383451,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,352.285367,233,811,458,20950,8060,5450,119,10236,5502,300040,,
29,397651,20260624134028346645,success,,,,55.199336,110,910,680,1728,10743,8846,113,6959,8201,195,7668,8144
30,411851,20260624134028346645,success,,,,54.635452,199,845,3839,2010,10554,8278,112,7283,5396,142,7561,7931
31,426051,20260624134028346645,success,,,,55.198880,129,893,1563,1574,7977,8469,105,7516,8250,196,9827,8240
32,440251,20260624134028346645,success,,,,89.416584,103,907,3888,543,8035,5576,120,7462,8070,41587,7255,5411
33,454451,20260624134028346645,success,,,,50.723183,140,887,778,341,10485,8639,110,7515,5514,142,7126,8515
34,468651,20260624134028346645,time_limit_exceeded,timeout,B4,Repair timeout: B4 exceeded 300 seconds,321.671076,260,799,498,357,10672,8604,300054,,,,,
35,482851,20260624134028346645,success,,,,53.936219,174,847,4820,4633,7893,5570,477,7541,5504,144,10492,5149
36,497051,20260624134028346645,success,,,,48.205276,134,889,495,1094,10763,5737,105,10252,5466,143,7478,5183
37,511251,20260624134028346645,time_limit_exceeded,timeout,B7,Repair timeout: B7 exceeded 300 seconds,332.926129,240,818,1534,351,10593,5634,169,7427,5379,300351,,
