trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,121,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,40.992755,207,35255,429,423,4225,,,,,,,
2,14321,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,41.314344,104,35483,448,406,4468,,,,,,,
3,28521,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,40.596373,221,35901,496,388,3193,,,,,,,
4,42721,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,43.601933,558,35338,814,2666,3829,,,,,,,
5,56921,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,47.023265,195,35585,4319,2442,4087,,,,,,,
6,71121,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,42.055427,538,35773,486,399,4455,,,,,,,
7,85321,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,41.095930,207,35886,426,385,3786,,,,,,,
8,99521,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,41.494146,486,35217,490,389,4280,,,,,,,
9,113721,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,40.026699,233,35563,503,410,2908,,,,,,,
10,127921,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ R8A8KFuEc5dX9yrHvDqcn01,41.225531,231,35553,504,884,3665,,,,,,,
