trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,111,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,15.349765,399,3617,447,422,8497,1554,,,,,,
2,14311,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,13.479634,222,3646,464,501,8234,,,,,,,
3,28511,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,13.272128,181,3652,475,431,8112,,,,,,,
4,42711,20260624134028346645,success,,,,39.201702,429,3586,503,441,8650,5142,115,8453,1258,388,4350,4832
5,56911,20260624134028346645,java_exception,failure,B9,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,37.336705,377,3559,466,430,5153,5300,141,7936,3284,267,8454,1203
6,71111,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,10.370299,408,3617,782,428,4239,,,,,,,
7,85311,20260624134028346645,success,,,,30.457893,329,3675,457,437,2342,5459,171,8170,3286,245,2282,2640
8,99511,20260624134028346645,success,,,,37.073387,351,3602,485,763,8693,2904,117,8233,5608,185,4175,968
9,113711,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ imobo_0000030,10.132440,352,3632,498,411,4827,,,,,,,
10,127911,20260624134028346645,success,,,,36.446362,315,3653,511,439,8726,2870,101,4577,972,229,8675,3040
