trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,120,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,72.237867,466,12926,12745,6303,39317,,,,,,,
2,14320,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,63.907961,309,12980,4618,7779,37725,,,,,,,
3,28520,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,80.621107,825,12784,35138,5489,25896,,,,,,,
4,42720,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,68.760984,975,12802,8240,7456,38790,,,,,,,
5,56920,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,58.004218,781,12895,12854,4873,26132,,,,,,,
6,71120,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,115.465797,687,12641,8086,21549,72003,,,,,,,
7,85320,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,72.573234,835,12776,13608,4876,39990,,,,,,,
8,99520,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,74.924948,807,12892,8036,9097,43595,,,,,,,
9,113720,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,52.580871,671,12854,5303,7503,25764,,,,,,,
10,127920,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: paluautre_from_diagnostics ⊑ ⊥,101.582054,318,12894,7995,9336,70517,,,,,,,
