trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,44,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,4.930974,130,369,521,473,1040,786,84,1169,,,,
2,14244,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.955202,165,348,244,180,2656,,,,,,,
3,28444,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,4.412783,136,365,253,314,1396,1595,,,,,,
4,42644,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.448983,56,422,258,282,1153,920,,,,,,
5,56844,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,5.633453,36,433,250,400,1122,1084,75,1866,,,,
6,71044,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.837849,118,366,223,344,1134,1294,,,,,,
7,85244,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.611792,158,361,227,195,1078,1228,,,,,,
8,99444,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.307940,96,402,260,308,1890,,,,,,,
9,113644,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.416836,154,377,243,175,2117,,,,,,,
10,127844,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ RNoBO9NO1ATwWFl2BO5JF2.R8CRuAYY0e1WIhZ2eFUXdLQ,3.863612,115,379,559,251,2190,,,,,,,
