trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,137,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ MH_0000018,115.708882,172,102093,1568,1928,9507,,,,,,,
2,14337,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000018 ⊑ MH_0000017,119.001943,281,103309,2867,1409,10679,,,,,,,
3,28537,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000017 ⊑ ⊥,116.649559,220,101954,1579,1370,2206,8867,,,,,,
4,42737,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000017 ⊑ ⊥,117.521109,598,101933,2873,2835,2193,6647,,,,,,
5,56937,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ MH_0000018,118.863650,600,104275,1496,1854,10166,,,,,,,
6,71137,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000018 ⊑ MH_0000017,118.979016,557,102210,4338,1865,9542,,,,,,,
7,85337,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ MH_0000018,109.494943,479,103329,2080,1419,1763,,,,,,,
8,99537,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000017 ⊑ ⊥,111.792795,299,103510,1508,1428,4609,,,,,,,
9,113737,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ MH_0000018,117.972864,454,103604,2799,1316,9352,,,,,,,
10,127937,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: MH_0000017 ⊑ ⊥,119.830651,371,102399,2934,2445,2251,8959,,,,,,
