trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,128,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,10.738573,505,5901,909,871,2139,,,,,,,
2,14328,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,19.955903,542,5999,6503,1752,1970,2763,,,,,,
3,28528,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,15.336771,342,5921,2496,1667,4485,,,,,,,
4,42728,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,15.202675,712,5914,4383,761,3019,,,,,,,
5,56928,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,196.831019,629,5900,789,183683,5393,,,,,,,
6,71128,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,112.642476,443,5980,1771,74041,29988,,,,,,,
7,85328,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,21.487907,493,5984,10006,990,3602,,,,,,,
8,99528,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,13.948217,582,5877,968,823,5280,,,,,,,
9,113728,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,14.546658,685,5824,1096,1992,4514,,,,,,,
10,127928,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ crosslinked_to.MICRONT_09010101,41.152627,610,5929,26125,1718,6341,,,,,,,
