trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,142,20260624134028346645,success,,,,185.723162,202,148091,5608,1148,5852,3439,277,4986,743,482,1231,797
2,14342,20260624134028346645,success,,,,178.760091,838,148547,1962,1775,2123,3476,294,923,2480,500,1191,2974
3,28542,20260624134028346645,memory_limit_exceeded,,,,192.480588,,,,,,,,,,,,
4,42742,20260624134028346645,memory_limit_exceeded,,,,220.800415,,,,,,,,,,,,
5,56942,20260624134028346645,memory_limit_exceeded,,,,229.414419,,,,,,,,,,,,
6,71142,20260624134028346645,memory_limit_exceeded,,,,216.325104,,,,,,,,,,,,
7,85342,20260624134028346645,memory_limit_exceeded,,,,207.874151,,,,,,,,,,,,
8,99542,20260624134028346645,memory_limit_exceeded,,,,211.553201,,,,,,,,,,,,
9,113742,20260624134028346645,memory_limit_exceeded,,,,194.372773,,,,,,,,,,,,
10,127942,20260624134028346645,memory_limit_exceeded,,,,189.858477,,,,,,,,,,,,
11,142142,20260624134028346645,memory_limit_exceeded,,,,209.332489,,,,,,,,,,,,
12,156342,20260624134028346645,memory_limit_exceeded,,,,205.036683,,,,,,,,,,,,
