trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,115,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Headache ⊑ Aspecific_symptoms,29.015685,380,24771,1175,484,1819,,,,,,,
2,14315,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Headache,43.398443,277,24426,1456,11108,842,616,1122,250,2670,,,
3,28515,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Headache,37.131960,62,24251,951,2684,846,5554,122,2229,,,,
4,42715,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Headache,38.708524,389,24570,1634,8923,2794,,,,,,,
5,56915,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Headache ⊑ Aspecific_symptoms,34.542704,367,24596,3364,2668,3159,,,,,,,
6,71115,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Headache,29.210039,160,24492,1064,527,853,1734,,,,,,
7,85315,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Headache ⊑ Aspecific_symptoms,29.358055,390,24516,541,885,2629,,,,,,,
8,99515,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Headache,30.288659,219,24619,558,527,835,3133,,,,,,
9,113715,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Anomia ⊑ Verbal_impairment,36.155886,300,24286,511,454,1541,8635,,,,,,
10,127915,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Headache ⊑ Aspecific_symptoms,29.019305,402,24460,522,506,2729,,,,,,,
