trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,87,20260624134028346645,memory_limit_exceeded,,,,58.119169,,,,,,,,,,,,
2,14287,20260624134028346645,memory_limit_exceeded,,,,63.915157,,,,,,,,,,,,
3,28487,20260624134028346645,memory_limit_exceeded,,,,62.649979,,,,,,,,,,,,
4,42687,20260624134028346645,memory_limit_exceeded,,,,50.776906,,,,,,,,,,,,
5,56887,20260624134028346645,memory_limit_exceeded,,,,61.713940,,,,,,,,,,,,
6,71087,20260624134028346645,memory_limit_exceeded,,,,56.770183,,,,,,,,,,,,
7,85287,20260624134028346645,success,,,,62.278909,136,8949,543,856,5868,2953,169,10142,6642,287,12697,6126
8,99487,20260624134028346645,memory_limit_exceeded,,,,48.338737,,,,,,,,,,,,
9,113687,20260624134028346645,memory_limit_exceeded,,,,66.262663,,,,,,,,,,,,
10,127887,20260624134028346645,memory_limit_exceeded,,,,58.059294,,,,,,,,,,,,
11,142087,20260624134028346645,memory_limit_exceeded,,,,52.682512,,,,,,,,,,,,
12,156287,20260624134028346645,memory_limit_exceeded,,,,62.128965,,,,,,,,,,,,
13,170487,20260624134028346645,memory_limit_exceeded,,,,57.586706,,,,,,,,,,,,
14,184687,20260624134028346645,memory_limit_exceeded,,,,55.690448,,,,,,,,,,,,
15,198887,20260624134028346645,memory_limit_exceeded,,,,55.737767,,,,,,,,,,,,
16,213087,20260624134028346645,memory_limit_exceeded,,,,53.522899,,,,,,,,,,,,
17,227287,20260624134028346645,memory_limit_exceeded,,,,63.660534,,,,,,,,,,,,
