trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,70,20260624134028346645,success,,,,13.027896,187,781,476,209,2936,1655,56,2262,885,71,2220,811
2,14270,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,12.820391,200,797,252,407,2834,1630,48,2355,1390,87,2422,
3,28470,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,2.969171,78,836,281,218,1203,,,,,,,
4,42670,20260624134028346645,success,,,,13.204618,168,795,526,210,2161,1622,84,2283,869,101,2435,1464
5,56870,20260624134028346645,success,,,,13.711805,211,778,242,239,2005,1602,79,2268,1491,90,2457,1732
6,71070,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,7.719248,199,778,606,220,2868,1626,36,687,,,,
7,85270,20260624134028346645,success,,,,15.448204,96,845,518,230,2808,1670,54,2297,868,85,2256,1597
8,99470,20260624134028346645,success,,,,12.707513,205,768,255,1148,896,1716,59,2334,811,84,2411,1542
9,113670,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,8.798099,218,763,265,211,2884,1580,57,2440,,,,
10,127870,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,8.688947,190,777,257,229,2778,1748,42,2288,,,,
11,142070,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,6.710373,107,829,892,207,2006,1273,76,953,,,,
12,156270,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,4.083741,91,848,536,388,1865,,,,,,,
13,170470,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.970090,86,849,275,476,2938,985,,,,,,
14,184670,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,4.680760,159,802,261,385,2717,,,,,,,
15,198870,20260624134028346645,success,,,,14.249362,195,774,476,437,2930,1323,37,2323,1394,70,2293,1519
16,213070,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,4.338773,157,814,1016,199,1791,,,,,,,
17,227270,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.189300,211,769,714,207,2781,,,,,,,
18,241470,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,8.167913,222,767,259,214,2881,1063,41,2208,,,,
19,255670,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.393035,181,790,492,213,2902,,,,,,,
20,269870,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.623352,139,822,264,213,2805,1008,,,,,,
21,284070,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,8.708826,202,777,273,213,2869,1587,44,2374,,,,
22,298270,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,6.883782,190,790,267,231,2877,997,71,1100,,,,
23,312470,20260624134028346645,success,,,,12.477744,127,820,723,229,2086,972,59,2253,873,80,2272,1513
24,326670,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,7.004160,96,830,494,617,2815,1085,35,656,,,,
25,340870,20260624134028346645,success,,,,14.813449,201,772,475,786,2892,1602,46,1493,919,89,2428,1582
26,355070,20260624134028346645,success,,,,12.217179,182,776,254,998,2113,1574,73,2162,1125,81,1461,953
27,369270,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,11.921001,89,860,516,409,2833,1683,66,1404,1415,78,2181,
28,383470,20260624134028346645,success,,,,12.555102,216,771,257,219,2858,1274,64,2348,858,79,1455,1677
29,397670,20260624134028346645,success,,,,13.669189,152,821,244,210,2335,1727,34,2333,1449,76,2279,1533
30,411870,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,4.629486,177,793,252,224,2822,,,,,,,
31,426070,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.578974,180,796,263,238,2886,849,,,,,,
32,440270,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,5.683490,87,851,887,863,1883,764,,,,,,
33,454470,20260624134028346645,success,,,,13.338223,199,772,266,226,2073,1624,40,2204,1453,72,2496,1427
34,468670,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,10.080848,185,777,504,565,2834,1613,44,2242,,,,
35,482870,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,11.364099,186,772,287,218,2278,968,100,1321,1430,87,2262,
36,497070,20260624134028346645,success,,,,13.494795,96,842,258,681,1909,1630,112,2420,1470,107,2467,1025
37,511270,20260624134028346645,success,,,,11.955471,197,781,708,208,2952,1670,42,1883,1097,80,1393,468
38,525470,20260624134028346645,success,,,,13.548346,166,786,249,238,2776,1676,126,2320,1082,84,2385,1181
39,539670,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ C_000509,4.720030,137,812,253,398,2758,,,,,,,
