trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,40,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.390886,36,407,184,126,1268,,,,,,,
2,14240,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.873895,119,335,629,421,994,,,,,,,
3,28440,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,3.162033,104,349,431,694,1207,,,,,,,
4,42640,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.880239,86,357,174,695,1216,,,,,,,
5,56840,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.528485,82,371,184,520,1018,,,,,,,
6,71040,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.407980,67,382,186,571,831,,,,,,,
7,85240,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.022169,108,368,193,152,842,,,,,,,
8,99440,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.500284,120,332,391,121,1184,,,,,,,
9,113640,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.549364,39,400,189,426,1140,,,,,,,
10,127840,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: R9qYKpx1mvg3tAw8NRa8yhr ⊑ ⊥,2.627645,122,339,877,86,831,,,,,,,
