trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,116,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OGMD_0000116 ⊑ OGMD_0000006,20.976185,286,15799,1564,550,2368,,,,,,,
2,14316,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OGMD_0000116 ⊑ OGMD_0000006,20.043593,328,15878,660,593,2183,,,,,,,
3,28516,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ OGMD_0000116,22.440695,375,15700,1913,949,3118,,,,,,,
4,42716,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OGMD_0000116 ⊑ OGMD_0000006,20.976282,188,15825,659,1206,2696,,,,,,,
5,56916,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ OGMD_0000116,19.176978,219,15702,632,1015,1197,,,,,,,
6,71116,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OGMD_0000116 ⊑ OGMD_0000006,20.832601,376,15756,1274,618,2419,,,,,,,
7,85316,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ OGMD_0000116,18.570091,178,15684,584,551,1193,,,,,,,
8,99516,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: OGMD_0000116 ⊑ OGMD_0000006,21.272370,258,15937,620,1042,3005,,,,,,,
9,113716,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ OGMD_0000116,19.774236,274,15926,1031,595,1559,,,,,,,
10,127916,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ OGMD_0000116,19.880438,193,15717,1079,542,1964,,,,,,,
