trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,76,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,8.592562,211,1230,265,221,3459,1189,50,1583,,,,
2,14276,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,4.565682,191,1231,250,654,1852,,,,,,,
3,28476,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,4.498104,247,1216,1669,180,807,,,,,,,
4,42676,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,4.210666,227,1222,242,214,1929,,,,,,,
5,56876,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,5.074341,250,1208,1573,211,1459,,,,,,,
6,71076,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,10.339796,242,1213,252,482,3456,1833,54,1548,862,,,
7,85276,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,4.025982,263,1198,258,249,1695,,,,,,,
8,99476,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,4.277738,220,1203,260,408,1826,,,,,,,
9,113676,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,5.008819,242,1207,1225,215,1752,,,,,,,
10,127876,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ intelligence_test,5.113260,143,1280,914,228,2180,,,,,,,
