trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,127,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique ⊑ Variable_biomédicale,45.781369,279,35377,1707,1511,6463,,,,,,,
2,14327,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique ⊑ Variable_biomédicale,45.764738,404,35402,1716,1563,6231,,,,,,,
3,28527,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique ⊑ Variable_biomédicale,45.884405,197,34552,1702,1494,7489,,,,,,,
4,42727,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique ⊑ Variable_biomédicale,47.042896,403,35154,1673,1534,7821,,,,,,,
5,56927,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique ⊑ Variable_biomédicale,47.319601,729,34558,1762,1534,8288,,,,,,,
6,71127,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique(Gabon),45.035694,462,34483,1714,830,1226,5855,,,,,,
7,85327,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique(Gabon),46.243020,543,35253,1552,1356,7064,,,,,,,
8,99527,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique(Gabon),47.698579,202,35482,1760,1560,8240,,,,,,,
9,113727,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique(Gabon),45.759333,101,34633,1678,816,8082,,,,,,,
10,127927,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Variable_holistique(Gabon),45.698436,154,34407,1684,1545,7445,,,,,,,
