trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,100,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ IT.05.01,30.881436,48,15349,1028,371,1849,5067,251,2406,1501,175,2355,
2,14300,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ IT.13.02,26.672523,253,15318,428,398,4614,779,155,1351,777,176,778,
3,28500,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ IT.05.01,30.296689,238,15319,962,387,6459,995,135,1338,1315,170,2531,
4,42700,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IT.05.01 ⊑ IT.05,21.132405,262,15286,448,364,4385,,,,,,,
5,56900,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ IT.13.02,26.061120,55,15377,441,1678,1349,793,123,2439,2740,191,466,
6,71100,20260624134028346645,success,,,,29.064247,165,15325,1081,370,1800,1091,131,2318,2755,178,1537,1034
7,85300,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IT.05.01 ⊑ IT.05,20.066588,276,15328,480,382,1280,1934,,,,,,
8,99500,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IT.05 ⊑ ⊥,20.997271,67,15462,870,744,3272,,,,,,,
9,113700,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IT.05 ⊑ ⊥,19.621062,106,15374,427,397,2929,,,,,,,
10,127900,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: IT.05 ⊑ ⊥,19.934994,214,15424,424,379,3096,,,,,,,
