trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,77,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,16.991384,43,5255,326,803,4852,3086,77,2139,,,,
2,14277,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,13.141451,120,5209,722,279,4953,894,103,474,,,,
3,28477,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,13.886889,43,5331,1177,295,4269,880,96,1132,,,,
4,42677,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Data_Processing ⊑ ⊥,8.542854,154,5207,729,297,1794,,,,,,,
5,56877,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,8.756471,178,5123,311,617,2163,,,,,,,
6,71077,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Data_Processing ⊑ ⊥,12.630169,85,5094,334,301,4880,1548,,,,,,
7,85277,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,8.395161,183,5276,589,298,1688,,,,,,,
8,99477,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,8.986132,74,5109,646,300,2367,,,,,,,
9,113677,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: Data_Processing ⊑ ⊥,12.808451,153,5163,327,702,4892,1077,,,,,,
10,127877,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Applications,13.063018,31,5255,1103,626,2217,1256,70,2117,,,,
