trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,102,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,16.624923,102,7730,1007,948,6377,,,,,,,
2,14302,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: BanCommunicationType ⊑ EventDrivenBanCommunicationType,21.775363,229,7767,4069,887,8386,,,,,,,
3,28502,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,14.995448,286,7692,1085,908,4604,,,,,,,
4,42702,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,19.406839,435,7683,1110,2841,6905,,,,,,,
5,56902,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,18.792502,214,7774,1129,898,8359,,,,,,,
6,71102,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ BanCommunicationType,19.821872,445,7639,1070,991,9257,,,,,,,
7,85302,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: BanCommunicationType ⊑ EventDrivenBanCommunicationType,17.574541,230,7731,1914,864,6416,,,,,,,
8,99502,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,18.091220,288,7656,1971,892,6856,,,,,,,
9,113702,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: BanCommunicationType ⊑ EventDrivenBanCommunicationType,17.638766,121,7748,1155,929,7269,,,,,,,
10,127902,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: EventDrivenBanCommunicationType ⊑ ⊥,19.253680,359,7610,1037,1517,8310,,,,,,,
