trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,129,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,63.546315,470,55664,971,690,5321,,,,,,,
2,14329,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,71.061918,708,55422,2005,740,3196,8526,,,,,,
3,28529,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,64.911593,195,55663,960,715,6940,,,,,,,
4,42729,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251020000183,60.939621,486,56353,788,990,1915,,,,,,,
5,56929,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251020000183,59.956792,285,55704,978,707,1871,,,,,,,
6,71129,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,63.252038,424,55675,981,709,5040,,,,,,,
7,85329,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251020000183,61.289712,407,55515,2199,818,1926,,,,,,,
8,99529,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,63.248180,351,55559,723,878,5307,,,,,,,
9,113729,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,64.336486,176,56221,957,679,5873,,,,,,,
10,127929,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: TEMP#251020000181 ⊑ ⊥,69.824781,463,57142,2161,3979,5636,,,,,,,
