trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,91,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,16.766060,133,6159,292,292,4658,2869,69,1854,,,,
2,14291,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,15.131373,132,6104,312,512,4727,1744,72,1111,,,,
3,28491,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,19.053454,298,6058,321,276,2878,1664,75,2438,2571,118,1938,
4,42691,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,9.609591,179,6084,283,288,2395,,,,,,,
5,56891,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,13.532065,220,6102,841,286,2921,2771,,,,,,
6,71091,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,11.785981,227,6057,319,270,2937,1596,,,,,,
7,85291,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,17.248047,261,6047,286,286,2929,2952,82,3985,,,,
8,99491,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,17.945363,213,6083,313,534,4691,1755,72,3869,,,,
9,113691,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,9.758718,199,6017,311,269,2591,,,,,,,
10,127891,20260624134028346645,success,,,,20.708235,256,5968,306,268,2850,1682,92,2305,1337,119,2230,2750
11,142091,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,17.515620,180,6089,308,264,4740,1766,74,3685,,,,
12,156291,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,23.714001,253,6032,306,275,4669,2904,62,3887,2782,145,1974,
13,170491,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,13.902212,84,6088,324,608,2859,2766,,,,,,
14,184691,20260624134028346645,success,,,,23.363130,172,6054,313,279,2860,1689,68,2350,1353,129,4183,1533
15,198891,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,18.851884,198,6018,282,501,4739,2933,104,2314,1344,,,
16,213091,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,9.951593,211,6121,292,285,2672,,,,,,,
17,227291,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,12.494001,241,6052,565,781,4479,,,,,,,
18,241491,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,11.720758,316,6012,323,277,4415,,,,,,,
19,255691,20260624134028346645,java_exception,failure,B6,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,18.540514,199,6038,1055,264,2922,2908,92,3960,694,,,
20,269891,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,10.260974,196,5999,316,828,2560,,,,,,,
21,284091,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,20.326888,318,5983,317,301,2994,1710,91,4185,1514,197,2298,
22,298291,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,9.848455,218,6097,319,299,2537,,,,,,,
23,312491,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,11.761658,129,6114,310,272,4550,,,,,,,
24,326691,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ Transtorno_de_conduta,11.818315,194,6061,291,304,2903,1681,,,,,,
