trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,66,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,5.178217,198,1794,258,213,1048,473,63,766,,,,
2,14266,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.200689,138,1811,243,413,1240,,,,,,,
3,28466,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.037788,223,1777,239,212,1225,,,,,,,
4,42666,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.820663,48,1872,254,220,921,1132,,,,,,
5,56866,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.366653,155,1821,669,206,1141,,,,,,,
6,71066,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.722240,84,1857,263,216,1940,,,,,,,
7,85266,20260624134028346645,java_exception,failure,B5,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,5.348904,125,1840,251,412,944,592,91,721,,,,
8,99466,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.375864,127,1822,685,193,1186,,,,,,,
9,113666,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,4.069129,57,1863,425,203,1164,,,,,,,
10,127866,20260624134028346645,java_exception,failure,B8,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ vdot_core_000018,8.425947,144,1800,1104,190,1041,1112,52,594,298,89,1428,
