trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,74,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.259526,204,2464,235,240,1750,,,,,,,
2,14274,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.118330,240,2415,245,223,1626,,,,,,,
3,28474,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.415414,249,2403,250,417,1697,,,,,,,
4,42674,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,4.268812,140,2444,273,230,816,,,,,,,
5,56874,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.115050,233,2426,444,202,1434,,,,,,,
6,71074,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,4.469540,211,2443,247,230,952,,,,,,,
7,85274,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.009206,272,2402,438,210,1311,,,,,,,
8,99474,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.117072,33,2536,268,198,1701,,,,,,,
9,113674,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.161894,235,2428,250,420,1452,,,,,,,
10,127874,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ TEMP#251000200011,5.196736,143,2448,292,418,1507,,,,,,,
