trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,118,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,24.699627,436,7988,9116,1828,4910,,,,,,,
2,14318,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,25.067614,267,8047,3587,1136,7138,3528,912,,,,,
3,28518,20260624134028346645,java_exception,failure,B3,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,73.305953,60,8042,4519,2829,55171,2249,,,,,,
4,42718,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,16.478536,413,7914,2010,1716,4002,,,,,,,
5,56918,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,17.735210,543,7989,2211,2540,4020,,,,,,,
6,71118,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,20.752918,446,7960,5153,2036,4733,,,,,,,
7,85318,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,15.420335,462,7930,1085,1050,4469,,,,,,,
8,99518,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,18.082295,471,8006,1261,2900,5017,,,,,,,
9,113718,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,16.817923,269,8001,1904,1660,4552,,,,,,,
10,127918,20260624134028346645,java_exception,failure,B2,Repair failed: ExecutionException: java.lang.IllegalStateException: Could not find a weakening for axiom: ⊤ ⊑ ∃ part_of.ZEA_0015018,17.011296,177,8001,2986,1715,3707,,,,,,,
