B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
1.0,1.0,1.0,0.4,1.0,0.5,0.4,1.0,0.5,0.0,0.5,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.5,0.8,0.5,1.0,1.0,1.0,0.4,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,20260624134028346645
1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.5333333333333333,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6521739130434783,0.6923076923076923,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.2,0.5,0.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.35714285714285715,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.0,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.5,0.8,0.6,0.4,1.0,0.5,0.4,1.0,0.5,0.896551724137931,0.90625,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
0.5,0.0,0.6,1.0,1.0,1.0,0.4,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
1.0,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20260624134028346645
