B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,1.0,0.05,0.5,0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,0.9821428571428571,0.5,0.95,20260624134028346645
1.0,0.95,0.5,0.8020833333333334,0.5,0.05,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,20260624134028346645
1.0,0.5,0.95,0.9170305676855895,0.05,0.5,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,1.0,0.05,0.05,0.9939024390243902,0.5,0.5,0.9939024390243902,0.5,0.5,0.9939024390243902,0.5,0.5,0.9939024390243902,0.5,0.5,0.9939024390243902,0.5,0.5,0.9939024390243902,0.5,0.5,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,1.0,0.05,0.05,0.9945054945054945,0.5,0.5,0.9945054945054945,0.5,0.5,0.9945054945054945,0.5,0.5,0.9945054945054945,0.5,0.5,0.9945054945054945,0.5,0.5,0.9945054945054945,0.5,0.5,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,1.0,0.05,0.05,0.9921875,0.5,0.5,0.9921875,0.5,0.5,0.9921875,0.5,0.5,0.9921875,0.5,0.5,0.9921875,0.5,0.5,0.9921875,0.5,0.5,20260624134028346645
0.05,0.5,0.05,0.05,0.5,0.05,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,20260624134028346645
0.990909090909091,0.5,0.95,1.0,0.05,0.5,1.0,0.05,0.5,0.990909090909091,0.5,0.95,0.990909090909091,0.5,0.95,0.990909090909091,0.5,0.95,0.990909090909091,0.5,0.95,0.990909090909091,0.5,0.95,0.990909090909091,0.5,0.95,20260624134028346645
0.9866666666666667,0.1,0.05263157894736842,0.9916317991631799,0.5,0.05,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,0.9922178988326849,0.95,0.5,20260624134028346645
0.9795918367346939,0.5,0.5,0.9656652360515021,0.05,0.05,0.9656652360515021,0.05,0.05,0.9795918367346939,0.5,0.5,0.9795918367346939,0.5,0.5,0.9795918367346939,0.5,0.5,0.9795918367346939,0.5,0.5,0.9795918367346939,0.5,0.5,0.9795918367346939,0.5,0.5,20260624134028346645
0.8347826086956521,0.05,0.05,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,20260624134028346645
0.9890510948905109,0.95,0.95,0.9844961240310077,0.5,0.5,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,0.9890510948905109,0.95,0.95,20260624134028346645
1.0,0.5,0.05,1.0,0.5,0.05,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,0.9939024390243902,0.95,0.5,20260624134028346645
1.0,0.95,0.95,0.8020833333333334,0.5,0.5,0.8020833333333334,0.5,0.5,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,20260624134028346645
0.8823529411764706,0.05263157894736842,0.05263157894736842,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,20260624134028346645
0.95,0.5,0.95,0.5,0.05,0.5,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,20260624134028346645
0.6724137931034483,0.5,0.05,0.6724137931034483,0.5,0.05,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,20260624134028346645
0.5,0.5,0.9473684210526315,0.05,0.05,0.9,0.05,0.05,0.9,0.5,0.5,0.9473684210526315,0.5,0.5,0.9473684210526315,0.5,0.5,0.9473684210526315,0.5,0.5,0.9473684210526315,0.5,0.5,0.9473684210526315,0.5,0.5,0.9473684210526315,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,1.0,0.05,0.05,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,20260624134028346645
1.0,0.95,0.5,0.6724137931034483,0.5,0.05,0.6724137931034483,0.5,0.05,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,20260624134028346645
0.05,0.5,0.5,0.5,0.95,0.95,0.05,0.5,0.5,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,20260624134028346645
0.9927007299270073,0.5,0.5,0.9921875,0.05,0.05,0.9921875,0.05,0.05,0.9927007299270073,0.5,0.5,0.9927007299270073,0.5,0.5,0.9927007299270073,0.5,0.5,0.9927007299270073,0.5,0.5,0.9927007299270073,0.5,0.5,0.9927007299270073,0.5,0.5,20260624134028346645
0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,0.9736842105263158,0.5,0.5,20260624134028346645
0.9908256880733946,0.95,0.95,1.0,0.5,0.5,1.0,0.5,0.5,0.9908256880733946,0.95,0.95,0.9908256880733946,0.95,0.95,0.9908256880733946,0.95,0.95,0.9908256880733946,0.95,0.95,0.9908256880733946,0.95,0.95,0.9908256880733946,0.95,0.95,20260624134028346645
0.9736842105263158,0.95,0.95,1.0,0.5,0.5,1.0,0.5,0.5,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,20260624134028346645
1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,20260624134028346645
0.5,0.5,0.05,0.5,0.5,0.05,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,20260624134028346645
0.9922178988326849,0.5,0.95,0.9916317991631799,0.05,0.5,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,0.9922178988326849,0.5,0.95,20260624134028346645
1.0,0.95,0.95,0.8020833333333334,0.5,0.5,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,1.0,0.95,0.95,20260624134028346645
0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,0.5,0.5,0.95,20260624134028346645
1.0,0.5,0.95,0.8333333333333334,0.05,0.5,0.8333333333333334,0.05,0.5,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,1.0,0.5,0.95,20260624134028346645
0.993485342019544,0.95,0.95,0.9930795847750865,0.5,0.5,0.9930795847750865,0.5,0.5,0.993485342019544,0.95,0.95,0.993485342019544,0.95,0.95,0.993485342019544,0.95,0.95,0.993485342019544,0.95,0.95,0.993485342019544,0.95,0.95,0.993485342019544,0.95,0.95,20260624134028346645
0.9864864864864865,0.5,0.95,1.0,0.05,0.5,1.0,0.05,0.5,0.9864864864864865,0.5,0.95,0.9864864864864865,0.5,0.95,0.9864864864864865,0.5,0.95,0.9864864864864865,0.5,0.95,0.9864864864864865,0.5,0.95,0.9864864864864865,0.5,0.95,20260624134028346645
0.9921875,0.95,0.5,0.9921875,0.95,0.5,1.0,0.5,0.05,0.9921875,0.95,0.5,0.9921875,0.95,0.5,0.9921875,0.95,0.5,0.9921875,0.95,0.5,0.9921875,0.95,0.5,0.9921875,0.95,0.5,20260624134028346645
1.0,0.5,0.5,0.940809968847352,0.05,0.05,0.940809968847352,0.05,0.05,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,20260624134028346645
0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,0.9926470588235294,0.05,0.9,0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,0.993103448275862,0.5,0.9473684210526315,20260624134028346645
0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,20260624134028346645
0.9926470588235294,0.95,0.95,0.9921259842519685,0.5,0.5,0.9921259842519685,0.5,0.5,0.9926470588235294,0.95,0.95,0.9926470588235294,0.95,0.95,0.9926470588235294,0.95,0.95,0.9926470588235294,0.95,0.95,0.9926470588235294,0.95,0.95,0.9926470588235294,0.95,0.95,20260624134028346645
0.9852941176470589,0.05,0.05,0.9895833333333334,0.5,0.5,0.9852941176470589,0.05,0.05,0.9895833333333334,0.5,0.5,0.9895833333333334,0.5,0.5,0.9895833333333334,0.5,0.5,0.9895833333333334,0.5,0.5,0.9895833333333334,0.5,0.5,0.9895833333333334,0.5,0.5,20260624134028346645
0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,0.9736842105263158,0.5,0.95,20260624134028346645
1.0,0.5,0.05,0.9891304347826086,0.95,0.5,1.0,0.5,0.05,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,20260624134028346645
0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,20260624134028346645
0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,0.9864864864864865,0.5,0.5,20260624134028346645
0.5128205128205128,0.5,0.05,0.5128205128205128,0.5,0.05,0.5128205128205128,0.5,0.05,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,1.0,0.95,0.5,20260624134028346645
0.05,0.05,0.05,0.5,0.5,0.5,0.05,0.05,0.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20260624134028346645
0.9915611814345991,0.5,0.05,0.9921568627450981,0.95,0.5,0.9915611814345991,0.5,0.05,0.9921568627450981,0.95,0.5,0.9921568627450981,0.95,0.5,0.9921568627450981,0.95,0.5,0.9921568627450981,0.95,0.5,0.9921568627450981,0.95,0.5,0.9921568627450981,0.95,0.5,20260624134028346645
1.0,0.5,0.05,0.9864864864864865,0.95,0.5,1.0,0.5,0.05,0.9864864864864865,0.95,0.5,0.9864864864864865,0.95,0.5,0.9864864864864865,0.95,0.5,0.9864864864864865,0.95,0.5,0.9864864864864865,0.95,0.5,0.9864864864864865,0.95,0.5,20260624134028346645
1.0,0.05,0.05,1.0,0.05,0.05,1.0,0.05,0.05,0.9821428571428571,0.5,0.5,0.9821428571428571,0.5,0.5,0.9821428571428571,0.5,0.5,0.9821428571428571,0.5,0.5,0.9821428571428571,0.5,0.5,0.9821428571428571,0.5,0.5,20260624134028346645
0.5,0.05,0.5,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,0.95,0.5,0.95,20260624134028346645
0.9883268482490273,0.1,0.05263157894736842,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,0.9930795847750865,0.95,0.5,20260624134028346645
0.9736842105263158,0.95,0.95,1.0,0.5,0.5,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,0.9736842105263158,0.95,0.95,20260624134028346645
1.0,0.5,0.05,1.0,0.5,0.05,1.0,0.5,0.05,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,0.9891304347826086,0.95,0.5,20260624134028346645
