B1_vs_A1,B1_vs_A2,B1_vs_A3,B2_vs_A1,B2_vs_A2,B2_vs_A3,B3_vs_A1,B3_vs_A2,B3_vs_A3,B4_vs_A1,B4_vs_A2,B4_vs_A3,B5_vs_A1,B5_vs_A2,B5_vs_A3,B6_vs_A1,B6_vs_A2,B6_vs_A3,B7_vs_A1,B7_vs_A2,B7_vs_A3,B8_vs_A1,B8_vs_A2,B8_vs_A3,B9_vs_A1,B9_vs_A2,B9_vs_A3,run_id
0.5,0.5,0.2,0.8,0.8,0.5,0.4,0.4,0.25,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,20260624134028346645
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20260624134028346645
0.8,0.5,0.75,0.2857142857142857,0.2,0.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5,0.75,20260624134028346645
0.5,0.5,0.875,0.2,0.3333333333333333,1.0,0.5,0.5,0.8,0.5,0.5,0.875,0.5,0.5,0.875,0.5,0.5,0.875,0.5,0.5,0.875,0.5,0.5,0.875,0.5,0.5,0.875,20260624134028346645
0.5,0.5,0.5,0.3333333333333333,0.2,0.3333333333333333,0.125,0.2,0.125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20260624134028346645
0.125,0.5,0.5,0.5,0.8,0.8,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,20260624134028346645
0.5,0.5,0.8,0.25,0.25,0.4,0.25,0.25,0.4,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,20260624134028346645
0.8,0.5,0.8,0.5,0.2,0.2857142857142857,0.8,0.5,0.8,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,20260624134028346645
0.8,0.5,0.8,0.8,0.5,0.8,0.8,0.5,0.8,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,0.875,0.5,0.6666666666666666,20260624134028346645
0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,20260624134028346645
0.2,0.125,0.125,0.2,0.3333333333333333,0.3333333333333333,0.2,0.125,0.125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,20260624134028346645
0.5,0.2857142857142857,0.2,0.625,0.4,0.25,0.875,0.8,0.5,0.8,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5,0.8,0.6666666666666666,0.5,20260624134028346645
0.8,0.8,0.5,0.875,0.6666666666666666,0.5,0.7142857142857143,0.5,0.3333333333333333,0.875,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,20260624134028346645
0.3333333333333333,0.125,0.2,0.7,0.5,0.5,0.3333333333333333,0.125,0.2,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,20260624134028346645
0.5,0.875,0.875,0.2,1.0,1.0,0.125,0.5,0.5,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875,20260624134028346645
