trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,75,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,10.953580,220,857,338,292,2069,2612,74,1538,2466,97,,
2,14275,20260624134028346645,success,,,,17.763523,44,953,581,273,4254,916,94,3502,2381,105,3896,202
3,28475,20260624134028346645,success,,,,9.029890,153,883,338,303,703,427,118,178,1021,104,3803,475
4,42675,20260624134028346645,success,,,,23.247616,206,863,364,269,4295,2589,67,3880,995,118,4058,2582
5,56875,20260624134028346645,success,,,,14.268711,228,847,335,517,2161,380,47,1267,2441,97,1649,2643
6,71075,20260624134028346645,success,,,,12.089591,215,849,575,270,672,2852,83,986,945,109,1438,2552
7,85275,20260624134028346645,success,,,,10.826759,237,829,1215,266,736,988,113,1454,138,95,1572,2623
8,99475,20260624134028346645,success,,,,11.764276,42,952,324,276,2022,2652,77,1531,197,100,1441,871
9,113675,20260624134028346645,success,,,,12.909765,78,943,365,306,4291,2670,152,206,118,93,686,2443
10,127875,20260624134028346645,success,,,,15.987555,206,845,592,723,2066,407,68,3707,460,94,3781,2450
11,142075,20260624134028346645,success,,,,18.047689,200,865,573,294,4297,2702,70,1664,732,118,4104,1136
12,156275,20260624134028346645,success,,,,12.272199,227,868,316,275,4309,2676,53,285,858,93,1475,278
13,170475,20260624134028346645,success,,,,22.908627,114,904,373,517,4232,2677,67,3772,1011,96,3704,2923
14,184675,20260624134028346645,success,,,,18.134946,251,849,332,272,4299,1230,89,1434,2350,97,3658,2694
15,198875,20260624134028346645,success,,,,13.230542,231,856,301,286,1913,403,66,835,2527,108,3683,566
16,213075,20260624134028346645,success,,,,16.773145,132,892,352,278,4399,2665,76,169,2382,96,3977,779
17,227275,20260624134028346645,success,,,,9.728197,132,899,369,271,698,2825,80,338,771,107,238,2465
18,241475,20260624134028346645,success,,,,15.216166,175,896,1020,1479,2032,957,47,1194,520,116,3739,2489
19,255675,20260624134028346645,success,,,,20.786855,127,910,1283,260,1992,2719,54,3533,2420,92,3671,2906
20,269875,20260624134028346645,success,,,,19.402661,189,862,356,742,4289,2580,69,3728,2330,99,1134,2455
21,284075,20260624134028346645,success,,,,16.301006,161,893,350,576,603,2799,68,1328,2624,139,3856,2338
22,298275,20260624134028346645,success,,,,18.401428,259,847,352,266,1213,2740,62,1116,2478,116,3729,2539
23,312475,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,1.925259,63,945,550,,,,,,,,,
24,326675,20260624134028346645,success,,,,20.955840,143,904,567,267,4288,2694,54,3518,965,117,3862,2901
25,340875,20260624134028346645,success,,,,14.232477,45,956,346,321,4267,386,69,3496,187,110,815,2675
26,355075,20260624134028346645,success,,,,12.815115,41,955,594,262,2141,2591,68,1460,2393,90,245,657
27,369275,20260624134028346645,success,,,,8.449823,176,866,360,291,711,478,71,594,875,94,651,2726
28,383475,20260624134028346645,success,,,,11.984902,146,880,625,1564,558,1237,65,1542,2470,113,1715,278
29,397675,20260624134028346645,success,,,,19.167044,196,888,1642,274,765,2851,77,3776,740,109,3803,2715
30,411875,20260624134028346645,success,,,,13.359158,252,834,323,796,2216,2655,74,189,795,120,3672,879
31,426075,20260624134028346645,success,,,,17.968050,181,872,591,594,2211,2577,63,3770,2531,174,863,2728
32,440275,20260624134028346645,success,,,,11.897688,95,937,323,285,4277,404,62,3501,126,93,339,909
33,454475,20260624134028346645,success,,,,15.298461,225,853,321,306,762,1368,78,3770,2551,99,3606,793
34,468675,20260624134028346645,success,,,,18.318819,235,844,352,288,4281,1064,80,3673,2687,92,1423,2736
35,482875,20260624134028346645,success,,,,23.372538,63,927,519,270,4216,2590,69,3556,2480,100,3909,2879
36,497075,20260624134028346645,success,,,,14.953271,200,867,313,304,1036,1085,74,1416,2417,102,3846,2739
37,511275,20260624134028346645,success,,,,13.586865,30,955,369,271,688,2796,115,3624,216,110,1437,2424
38,525475,20260624134028346645,success,,,,14.537909,222,863,327,605,4177,422,135,1502,2569,123,378,2669
39,539675,20260624134028346645,success,,,,18.270477,214,851,320,294,4328,1163,84,1375,2422,99,3787,2766
40,553875,20260624134028346645,success,,,,11.036561,172,879,342,288,1495,727,55,3722,139,131,1649,864
41,568075,20260624134028346645,success,,,,17.353045,218,862,592,298,600,2868,62,3875,2558,114,3698,1021
42,582275,20260624134028346645,success,,,,15.472472,253,853,1203,592,1235,480,103,1515,2468,96,3631,2491
43,596475,20260624134028346645,success,,,,11.128888,257,844,340,755,1910,394,68,313,826,112,3712,998
44,610675,20260624134028346645,success,,,,14.382430,222,850,536,559,2149,2680,71,3744,191,96,262,2390
45,624875,20260624134028346645,success,,,,11.923731,185,883,349,621,2078,444,47,3542,2626,92,321,167
46,639075,20260624134028346645,success,,,,14.906434,245,836,346,285,2110,2624,99,3793,2685,109,384,240
47,653275,20260624134028346645,success,,,,12.601224,115,905,329,542,1943,352,83,3556,2519,100,987,613
48,667475,20260624134028346645,success,,,,17.314494,282,805,317,286,4175,2546,82,711,2586,104,3632,1121
49,681675,20260624134028346645,success,,,,17.971776,46,948,901,283,2149,2626,59,3717,161,127,3822,2555
50,695875,20260624134028346645,success,,,,11.226559,83,944,958,525,668,450,111,237,194,127,3881,2507
51,710075,20260624134028346645,success,,,,18.250437,94,905,698,603,671,2817,66,3663,549,106,3704,2642
52,724275,20260624134028346645,success,,,,20.779975,180,889,2054,814,4201,1159,63,3453,2422,106,3924,948
53,738475,20260624134028346645,success,,,,22.821397,88,926,601,268,4290,2670,76,3424,2448,138,3830,2978
54,752675,20260624134028346645,success,,,,11.874344,63,960,362,618,4221,450,77,259,169,119,3836,190
55,766875,20260624134028346645,success,,,,16.529601,103,929,633,260,785,483,91,3722,815,96,3727,2546
56,781075,20260624134028346645,success,,,,13.232463,265,834,341,272,1295,2744,77,1251,2695,106,1640,1026
