trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,82,20260624134028346645,success,,,,43.427634,105,5267,1288,373,3389,2006,160,7463,6367,161,7992,6305
2,14282,20260624134028346645,success,,,,42.700016,270,5212,721,345,3573,2173,208,8462,5759,268,8505,6004
3,28482,20260624134028346645,success,,,,45.024285,227,5388,723,356,3644,4408,120,7570,5874,455,8033,6949
4,42682,20260624134028346645,success,,,,46.347947,102,5343,1093,374,6424,1933,144,10094,4256,167,8783,6610
5,56882,20260624134028346645,success,,,,43.579099,204,5191,975,354,3440,2378,172,8556,5849,162,8959,6373
6,71082,20260624134028346645,success,,,,42.052709,262,5128,436,712,2827,1750,280,8752,5513,278,9613,5540
7,85282,20260624134028346645,success,,,,42.843379,110,5301,762,1035,3532,2190,151,8474,5580,163,7388,6813
8,99482,20260624134028346645,success,,,,48.254206,177,5329,408,379,2916,3156,219,13910,6220,178,7545,6653
9,113682,20260624134028346645,success,,,,42.471483,163,5335,752,340,2811,2113,218,9041,5147,321,8818,6043
10,127882,20260624134028346645,success,,,,48.023801,250,5288,1087,980,3844,1647,219,8482,7667,251,6852,4525
11,142082,20260624134028346645,success,,,,45.826812,101,5201,409,1129,3633,2144,141,8809,5997,180,11220,5802
12,156282,20260624134028346645,success,,,,42.076098,206,5225,420,773,3417,2075,512,8377,6158,293,8969,4681
13,170482,20260624134028346645,success,,,,42.725974,202,5247,416,357,3653,2151,156,7134,4945,264,11670,5420
14,184682,20260624134028346645,success,,,,42.876589,167,5256,1058,355,3967,2001,119,8721,6336,249,8407,5253
15,198882,20260624134028346645,success,,,,47.424136,147,5278,408,364,3406,1619,127,11458,5203,166,13586,4609
16,213082,20260624134028346645,success,,,,43.871062,213,5396,427,394,3401,3122,655,8641,5253,187,8694,5766
17,227282,20260624134028346645,success,,,,47.967170,72,5413,2826,348,3400,2416,513,7608,6980,571,6956,5591
18,241482,20260624134028346645,success,,,,44.244085,141,5126,769,339,2848,1720,125,8332,4815,1554,8751,6091
19,255682,20260624134028346645,memory_limit_exceeded,,,,48.227236,,,,,,,,,,,,
20,269882,20260624134028346645,success,,,,40.788873,247,5379,411,404,3385,2188,138,7068,7169,509,7999,4869
21,284082,20260624134028346645,success,,,,42.813433,70,5276,747,666,3286,2051,251,8744,4856,481,8201,6878
22,298282,20260624134028346645,success,,,,44.776366,40,5499,405,361,2855,3070,256,7437,6864,150,8614,8219
23,312482,20260624134028346645,success,,,,45.020238,127,5244,746,374,5130,2994,110,8319,6066,728,6894,7004
24,326682,20260624134028346645,success,,,,45.294949,290,5140,406,360,5049,2170,135,8395,5630,209,10245,6218
25,340882,20260624134028346645,success,,,,39.719319,170,5153,428,387,3409,1651,198,8253,5463,235,8854,4651
26,355082,20260624134028346645,success,,,,53.464152,119,5263,1133,763,6803,2960,148,7604,6056,1234,8289,4772
27,369282,20260624134028346645,memory_limit_exceeded,,,,42.496327,,,,,,,,,,,,
28,383482,20260624134028346645,success,,,,46.156914,153,5294,808,355,3614,2191,125,9912,6434,239,10741,5273
29,397682,20260624134028346645,success,,,,46.138853,204,5310,404,753,3383,2102,1069,9073,6684,182,7759,6678
30,411882,20260624134028346645,success,,,,44.625335,72,5411,1044,1788,2883,2011,154,8268,4694,300,9271,7255
31,426082,20260624134028346645,memory_limit_exceeded,,,,51.865483,,,,,,,,,,,,
32,440282,20260624134028346645,memory_limit_exceeded,,,,47.178168,,,,,,,,,,,,
33,454482,20260624134028346645,success,,,,41.786018,56,5403,425,417,3433,2044,241,8730,4903,199,9215,5649
34,468682,20260624134028346645,success,,,,47.130531,307,5334,926,951,4790,2111,373,8909,7209,157,8017,7002
35,482882,20260624134028346645,success,,,,46.433425,167,5156,1120,668,2923,2066,155,8284,5699,256,11446,4787
36,497082,20260624134028346645,success,,,,51.086657,140,5174,1010,368,4951,2084,670,8395,6126,204,9249,5435
37,511282,20260624134028346645,success,,,,46.555788,185,5255,424,372,3395,2066,174,8764,6939,325,10619,6989
38,525482,20260624134028346645,success,,,,50.803163,256,5190,1592,960,2850,2020,155,8626,6325,166,9736,5417
39,539682,20260624134028346645,success,,,,43.040373,201,5378,415,371,2841,3217,126,8738,5285,185,9409,5843
40,553882,20260624134028346645,success,,,,46.980048,214,5334,401,368,3448,2217,1488,7267,5080,192,10084,6323
41,568082,20260624134028346645,success,,,,46.662503,190,5317,439,999,3438,2431,403,8544,6148,1760,8268,7674
42,582282,20260624134028346645,memory_limit_exceeded,,,,48.881696,,,,,,,,,,,,
43,596482,20260624134028346645,success,,,,43.182609,205,5193,416,812,2882,1685,265,8705,5338,196,9551,6901
44,610682,20260624134028346645,success,,,,45.115884,50,5323,404,367,3582,1648,270,8305,5140,664,9681,5709
45,624882,20260624134028346645,success,,,,44.289540,208,5281,410,395,3441,2041,245,8387,8342,1206,8295,4913
46,639082,20260624134028346645,success,,,,43.780191,226,5123,2119,340,3358,2065,166,7539,5228,165,9617,6664
47,653282,20260624134028346645,success,,,,43.854789,125,5168,407,407,2939,1668,160,7378,5103,180,12377,6251
48,667482,20260624134028346645,success,,,,42.534183,40,5248,728,1052,3884,2996,154,8457,5466,164,9240,4149
49,681682,20260624134028346645,success,,,,41.123067,107,5374,800,1334,2783,2036,227,7469,4937,148,7309,6134
50,695882,20260624134028346645,success,,,,41.826911,150,5224,755,372,3381,2073,169,7475,5617,204,8979,6364
51,710082,20260624134028346645,success,,,,50.182640,268,5276,433,656,3409,2031,1161,8382,6044,872,8353,6046
52,724282,20260624134028346645,success,,,,48.257427,119,5174,781,358,3868,5619,1289,8779,6091,144,7823,6801
53,738482,20260624134028346645,success,,,,46.061664,85,5237,406,368,2896,2015,204,7387,5113,298,8785,5901
54,752682,20260624134028346645,success,,,,42.472959,133,5443,394,405,3381,2054,208,8315,5428,278,8633,6181
55,766882,20260624134028346645,success,,,,39.983504,53,5219,695,657,2853,2045,125,7263,5417,222,7863,5335
56,781082,20260624134028346645,success,,,,44.852758,62,5413,749,1337,3557,1612,186,7327,8066,151,7922,7270
57,795282,20260624134028346645,memory_limit_exceeded,,,,48.570008,,,,,,,,,,,,
58,809482,20260624134028346645,success,,,,46.382222,325,5341,432,648,3343,2878,524,8341,6317,1073,9305,6834
