trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,54,20260624134028346645,success,,,,13.725040,89,1503,169,609,2870,1067,57,1429,124,67,4184,913
2,14254,20260624134028346645,success,,,,10.974276,103,1500,181,300,2883,1422,37,2142,110,375,207,135
3,28454,20260624134028346645,success,,,,14.106731,99,1502,165,308,6126,263,46,180,117,58,4602,132
4,42654,20260624134028346645,success,,,,9.071985,93,1516,950,693,461,1971,53,185,128,90,1406,1004
5,56854,20260624134028346645,success,,,,7.926264,134,1478,193,124,1845,262,66,1455,123,80,235,1421
6,71054,20260624134028346645,success,,,,12.653284,122,1479,338,297,469,289,53,2236,3086,56,1978,980
7,85254,20260624134028346645,success,,,,9.690315,69,1531,1150,133,3250,254,39,162,1300,243,180,133
8,99454,20260624134028346645,success,,,,8.836225,140,1491,325,127,2571,1820,59,212,120,61,178,992
9,113654,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,11.285981,135,1465,331,142,2615,1375,98,1441,2260,76,,
10,127854,20260624134028346645,success,,,,13.077897,116,1493,178,133,1948,977,230,2058,2231,64,1388,1686
11,142054,20260624134028346645,success,,,,14.267250,117,1473,326,1091,2485,2296,40,5451,111,56,181,134
12,156254,20260624134028346645,success,,,,15.673663,179,1439,530,141,3930,2333,249,1470,1330,66,2118,160
13,170454,20260624134028346645,success,,,,8.444277,122,1473,165,133,2543,1466,41,165,110,108,237,1366
14,184654,20260624134028346645,success,,,,10.834749,138,1477,341,155,4540,1826,55,165,121,137,186,137
15,198854,20260624134028346645,success,,,,13.856268,128,1464,332,326,2841,1512,165,1347,2082,55,2911,143
16,213054,20260624134028346645,success,,,,13.349410,38,1547,349,143,2652,1397,40,3469,139,69,2877,133
17,227254,20260624134028346645,success,,,,5.737039,99,1500,537,494,482,1160,87,162,112,247,178,158
18,241454,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.121868,179,1458,173,134,2890,1830,69,,,,,
19,255654,20260624134028346645,success,,,,12.985893,32,1552,646,141,4573,218,117,3367,167,74,1475,137
20,269854,20260624134028346645,success,,,,9.366213,138,1470,336,301,2559,264,40,2070,1276,54,178,187
21,284054,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,6.866279,84,1516,540,472,1977,1707,193,,,,,
22,298254,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,7.687855,42,1532,184,142,1918,1885,52,180,933,193,,
23,312454,20260624134028346645,success,,,,10.407177,92,1503,337,285,2911,1943,63,191,968,61,185,1350
24,326654,20260624134028346645,success,,,,8.174256,72,1521,191,486,478,2087,54,178,881,59,178,1454
25,340854,20260624134028346645,success,,,,10.552044,66,1502,538,125,490,1975,40,3486,1393,63,217,167
26,355054,20260624134028346645,success,,,,12.306332,41,1550,597,311,3886,228,39,1361,114,64,2086,1523
27,369254,20260624134028346645,success,,,,11.335334,28,1547,348,146,2925,1431,36,2873,108,55,232,161
28,383454,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,8.973362,128,1489,351,301,2645,1381,35,2037,112,103,,
29,397654,20260624134028346645,success,,,,13.887042,92,1503,332,287,7860,231,38,1332,108,61,1332,132
30,411854,20260624134028346645,success,,,,8.447926,185,1454,302,276,486,1248,86,2077,1369,59,187,140
31,426054,20260624134028346645,success,,,,5.548914,153,1458,183,133,487,298,224,202,127,88,1533,151
32,440254,20260624134028346645,success,,,,8.011283,57,1549,183,131,486,1892,57,1459,138,86,209,989
33,454454,20260624134028346645,success,,,,12.269341,124,1491,443,130,2604,1386,71,2116,893,117,2240,141
34,468654,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,4.264502,72,1514,330,140,491,1210,142,,,,,
35,482854,20260624134028346645,success,,,,5.682661,136,1471,166,130,493,1946,50,222,129,93,189,178
36,497054,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,8.348888,96,1513,332,149,2912,2814,160,,,,,
37,511254,20260624134028346645,success,,,,9.193968,140,1476,527,145,491,257,321,2200,1812,121,234,932
38,525454,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,5.548921,39,1527,185,724,474,2125,103,,,,,
