trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,67,20260624134028346645,success,,,,9.754053,138,2928,289,244,1217,767,61,664,471,111,726,1672
2,14267,20260624134028346645,success,,,,11.209091,145,2937,503,237,1996,997,94,744,436,102,773,1815
3,28467,20260624134028346645,success,,,,13.049819,44,2991,303,259,1221,1189,86,698,492,93,4796,431
4,42667,20260624134028346645,java_exception,failure,B4,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,6.907686,33,3024,307,252,2107,607,191,,,,,
5,56867,20260624134028346645,success,,,,18.434995,92,2984,282,510,5197,982,80,4477,391,80,2487,407
6,71067,20260624134028346645,success,,,,10.994677,176,2925,296,512,1755,1130,51,719,439,89,767,1689
7,85267,20260624134028346645,success,,,,12.461013,138,2939,286,260,5171,784,59,643,381,126,788,436
8,99467,20260624134028346645,success,,,,12.541370,123,2955,276,242,1498,648,86,4582,436,85,663,477
9,113667,20260624134028346645,success,,,,11.796876,149,2978,279,225,1201,1170,84,3530,390,98,730,512
10,127867,20260624134028346645,success,,,,13.152362,48,3011,262,526,1985,1105,53,2609,1728,124,692,554
11,142067,20260624134028346645,success,,,,9.870820,136,2917,255,238,1973,633,53,753,459,83,775,450
12,156267,20260624134028346645,success,,,,14.141431,56,3021,283,269,2527,1066,51,2516,2659,80,669,414
13,170467,20260624134028346645,success,,,,13.192922,82,2979,715,218,2077,2553,62,2406,392,183,656,414
14,184667,20260624134028346645,success,,,,11.604888,135,2939,271,240,1874,1146,52,671,1557,152,778,463
15,198867,20260624134028346645,success,,,,16.498574,230,2861,291,233,2108,1981,92,3565,389,171,2384,1728
16,213067,20260624134028346645,success,,,,15.502156,105,2951,512,471,2598,1450,56,3333,500,381,2190,495
17,227267,20260624134028346645,success,,,,12.772452,134,2939,295,251,1540,665,60,718,453,113,4733,414
18,241467,20260624134028346645,success,,,,14.900175,112,2937,284,240,1384,1092,85,2616,385,121,2635,2498
19,255667,20260624134028346645,success,,,,12.056371,132,2920,292,482,1422,749,59,672,446,106,2609,1656
20,269867,20260624134028346645,success,,,,12.380031,47,3007,287,248,1195,786,59,4609,373,133,740,440
21,284067,20260624134028346645,success,,,,11.210359,144,2935,507,228,1898,589,45,710,504,79,757,2359
22,298267,20260624134028346645,success,,,,12.304515,151,2918,451,244,1950,789,53,3566,395,87,819,432
23,312467,20260624134028346645,success,,,,14.119740,138,2933,263,241,1770,1191,66,3586,401,87,825,2164
24,326667,20260624134028346645,success,,,,12.717828,165,2958,270,753,1748,1401,91,3136,379,90,845,411
25,340867,20260624134028346645,success,,,,8.891151,178,2914,286,238,1524,649,57,690,466,119,778,497
26,355067,20260624134028346645,java_exception,failure,B7,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,13.322524,77,2930,284,236,2062,774,77,3524,2838,111,,
27,369267,20260624134028346645,success,,,,15.184332,88,2962,311,243,3161,928,53,802,404,106,3467,2187
28,383467,20260624134028346645,success,,,,10.814799,67,3004,269,241,1195,807,68,717,1656,102,732,1505
29,397667,20260624134028346645,success,,,,14.594198,47,3004,301,256,1506,678,59,4625,429,76,2599,499
30,411867,20260624134028346645,success,,,,11.404317,207,2917,503,477,1725,700,50,723,446,133,711,2358
31,426067,20260624134028346645,success,,,,12.726629,181,2895,269,235,1236,1167,719,743,1764,88,2494,487
32,440267,20260624134028346645,success,,,,10.012555,167,2964,280,248,1193,1049,63,726,1590,77,769,443
33,454467,20260624134028346645,success,,,,18.519327,153,2947,290,235,1168,1061,66,3489,1684,77,4638,2235
34,468667,20260624134028346645,success,,,,12.943123,112,2948,527,234,1911,1036,53,732,2282,113,765,1783
