trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,125,20260624134028346645,success,,,,77.048834,392,38771,892,845,7183,8924,270,4712,2570,278,3951,7054
2,14325,20260624134028346645,memory_limit_exceeded,,,,82.388304,,,,,,,,,,,,
3,28525,20260624134028346645,success,,,,77.553302,227,38953,2609,1666,9669,4778,255,4148,2195,334,4945,4303
4,42725,20260624134028346645,success,,,,73.813216,349,39075,2690,836,4947,4159,169,3857,2141,317,10796,3249
5,56925,20260624134028346645,memory_limit_exceeded,,,,196.308425,,,,,,,,,,,,
6,71125,20260624134028346645,success,,,,76.875850,268,38958,1723,820,9565,4466,178,4039,1861,283,11075,2517
7,85325,20260624134028346645,memory_limit_exceeded,,,,120.686937,,,,,,,,,,,,
8,99525,20260624134028346645,success,,,,81.376934,267,39085,883,1492,10395,6002,163,9476,2894,401,3778,5507
9,113725,20260624134028346645,success,,,,79.871886,108,38527,1596,756,7225,2776,807,9373,2192,371,4375,5528
10,127925,20260624134028346645,memory_limit_exceeded,,,,96.389419,,,,,,,,,,,,
11,142125,20260624134028346645,success,,,,82.115934,488,39077,891,790,9937,4355,166,3677,2837,378,12822,2824
12,156325,20260624134028346645,success,,,,75.865709,329,38525,936,825,10464,2800,168,3869,2570,438,10106,3636
13,170525,20260624134028346645,memory_limit_exceeded,,,,121.419353,,,,,,,,,,,,
14,184725,20260624134028346645,success,,,,77.045158,632,38263,875,840,4843,4106,150,7039,5107,469,9742,2577
15,198925,20260624134028346645,success,,,,80.799873,559,38410,2810,825,7549,2981,227,3934,4657,340,10479,2403
16,213125,20260624134028346645,success,,,,78.573560,251,38691,1647,830,7182,2831,172,3905,6545,340,11988,3185
17,227325,20260624134028346645,success,,,,82.718367,139,39331,1837,1581,7651,3033,188,11226,2838,261,8399,5157
18,241525,20260624134028346645,memory_limit_exceeded,,,,107.661048,,,,,,,,,,,,
19,255725,20260624134028346645,success,,,,89.961459,102,39213,908,818,14005,7140,138,3597,5861,801,3547,5742
20,269925,20260624134028346645,success,,,,67.472923,256,38921,849,814,7188,2705,256,3325,4585,458,4695,2520
21,284125,20260624134028346645,success,,,,78.288086,499,39303,2632,785,4779,4438,178,3601,2296,428,10202,8010
22,298325,20260624134028346645,success,,,,71.217633,331,39106,1500,800,7209,2806,179,3710,6730,292,4271,3232
23,312525,20260624134028346645,memory_limit_exceeded,,,,91.409190,,,,,,,,,,,,
24,326725,20260624134028346645,memory_limit_exceeded,,,,89.086705,,,,,,,,,,,,
25,340925,20260624134028346645,success,,,,72.144415,189,38530,1757,769,11135,4893,256,3819,2151,443,5091,2180
26,355125,20260624134028346645,success,,,,80.980055,233,38827,888,844,6672,2842,179,9488,4639,275,10057,2373
27,369325,20260624134028346645,success,,,,78.925172,200,38623,873,805,9840,6402,165,11058,1996,271,3888,3587
28,383525,20260624134028346645,success,,,,81.409009,464,39165,849,806,11407,4303,174,10136,4829,276,3705,4307
29,397725,20260624134028346645,success,,,,65.717569,562,38784,867,868,7045,2810,179,3636,2231,324,4236,2992
30,411925,20260624134028346645,success,,,,89.529923,234,39183,1812,815,9765,6780,221,3952,6404,723,7731,4675
31,426125,20260624134028346645,success,,,,71.158420,271,38517,894,852,7661,4634,184,3940,2129,327,4195,2653
32,440325,20260624134028346645,memory_limit_exceeded,,,,147.403485,,,,,,,,,,,,
33,454525,20260624134028346645,success,,,,70.614963,141,38966,1703,807,4559,6511,197,3776,4402,337,5362,2833
34,468725,20260624134028346645,memory_limit_exceeded,,,,97.752588,,,,,,,,,,,,
35,482925,20260624134028346645,success,,,,78.243159,349,38893,866,829,9748,8275,165,4780,4003,744,4319,4215
36,497125,20260624134028346645,success,,,,81.472421,259,38867,2657,1676,9856,4656,340,4102,2220,277,3860,5869
37,511325,20260624134028346645,success,,,,81.497621,481,38855,1673,809,7167,4995,371,6580,4815,843,8646,5033
38,525525,20260624134028346645,success,,,,73.605518,296,38826,900,890,6692,2826,183,7048,2425,501,8446,2812
39,539725,20260624134028346645,success,,,,94.074817,461,38774,902,4742,10515,2766,280,9553,2661,348,11365,5647
40,553925,20260624134028346645,success,,,,80.048200,392,38417,1525,795,7326,3041,180,9315,6378,336,4981,6397
41,568125,20260624134028346645,memory_limit_exceeded,,,,102.843036,,,,,,,,,,,,
42,582325,20260624134028346645,success,,,,71.580154,85,38642,888,786,7229,2923,176,9215,3249,254,4067,3040
43,596525,20260624134028346645,memory_limit_exceeded,,,,79.573644,,,,,,,,,,,,
44,610725,20260624134028346645,success,,,,76.956473,278,39034,843,813,7219,6243,276,7042,6134,536,3794,2841
45,624925,20260624134028346645,success,,,,75.229443,617,38965,918,834,8025,4764,179,10515,2181,285,4499,2476
46,639125,20260624134028346645,success,,,,73.344547,310,39092,865,870,7750,2769,372,6820,2646,383,5000,5529
47,653325,20260624134028346645,success,,,,82.534965,190,39169,908,813,7475,2998,188,9087,5835,357,8496,2667
48,667525,20260624134028346645,success,,,,77.585279,522,38996,1616,1572,9743,4598,316,9664,2443,365,4504,2263
49,681725,20260624134028346645,success,,,,78.432765,116,38880,880,824,10889,8876,217,4884,5957,180,3649,2080
50,695925,20260624134028346645,success,,,,72.392088,198,39080,875,858,7298,2946,257,3463,2268,821,7175,6078
51,710125,20260624134028346645,success,,,,87.296805,156,39367,960,835,15048,4674,163,4793,4432,373,7914,4636
52,724325,20260624134028346645,success,,,,78.270145,56,38620,855,866,8148,6573,187,12136,2007,309,5039,2411
53,738525,20260624134028346645,success,,,,65.518638,453,39077,840,829,4763,4632,269,3665,2338,354,4803,2692
54,752725,20260624134028346645,success,,,,91.066164,521,38517,882,804,10433,2901,176,9750,2043,334,10282,6331
55,766925,20260624134028346645,success,,,,72.665698,400,38697,983,1425,4998,4233,161,9463,2866,309,3882,2271
56,781125,20260624134028346645,memory_limit_exceeded,,,,890.340283,,,,,,,,,,,,
57,795325,20260624134028346645,success,,,,92.141923,466,38811,901,845,11013,6048,215,10683,2119,272,8959,6083
58,809525,20260624134028346645,success,,,,88.990897,442,38761,2963,830,4779,6580,189,6914,7145,458,10556,2505
59,823725,20260624134028346645,success,,,,90.053081,357,39340,880,1643,7131,11755,211,7549,2980,577,3703,6249
60,837925,20260624134028346645,success,,,,77.857685,399,38685,922,1501,7340,2849,173,9662,2399,479,8511,3389
61,852125,20260624134028346645,success,,,,88.479775,413,38602,1762,749,10905,3043,214,4241,6422,735,11270,5354
62,866325,20260624134028346645,success,,,,93.191050,307,38805,888,1720,14722,5029,314,3760,5944,288,10586,2413
63,880525,20260624134028346645,success,,,,71.130396,386,38843,893,903,7070,2761,179,3610,2213,335,4839,7401
64,894725,20260624134028346645,memory_limit_exceeded,,,,119.451241,,,,,,,,,,,,
65,908925,20260624134028346645,success,,,,75.174279,366,39289,946,846,4609,4317,184,3812,2376,336,10739,6254
66,923125,20260624134028346645,success,,,,78.746990,252,38435,847,819,8067,4823,208,3507,4525,341,11575,4287
67,937325,20260624134028346645,memory_limit_exceeded,,,,88.695992,,,,,,,,,,,,
68,951525,20260624134028346645,success,,,,74.521404,99,38753,859,1547,7446,3074,178,7001,2256,313,4866,7110
69,965725,20260624134028346645,success,,,,65.987623,201,38735,876,811,7464,2892,248,3650,2591,279,3988,3392
70,979925,20260624134028346645,success,,,,79.558934,65,38936,863,798,7103,6394,172,3929,2282,326,10680,6914
71,994125,20260624134028346645,success,,,,84.403746,384,38995,867,824,7445,6875,180,10678,5645,320,8924,2128
72,1008325,20260624134028346645,success,,,,79.144832,94,39270,2578,854,7376,6133,275,3845,2728,355,7668,6932
73,1022525,20260624134028346645,success,,,,78.309297,222,38932,847,785,4709,8523,195,7773,4048,540,8567,2023
74,1036725,20260624134028346645,success,,,,77.294856,290,38427,889,828,7332,2837,158,9573,3011,469,8262,4194
75,1050925,20260624134028346645,success,,,,76.259618,126,39149,915,796,7534,4949,441,6890,2330,720,4635,6537
76,1065125,20260624134028346645,success,,,,77.205063,543,39165,2562,4313,7001,2955,174,3953,2189,317,4252,6618
77,1079325,20260624134028346645,success,,,,71.497144,331,39143,920,865,4988,4245,183,3743,2414,337,10473,2979
78,1093525,20260624134028346645,memory_limit_exceeded,,,,79.978839,,,,,,,,,,,,
79,1107725,20260624134028346645,success,,,,76.804220,361,38976,846,830,4854,8688,214,3937,5302,416,4146,7086
80,1121925,20260624134028346645,success,,,,63.623285,283,38502,873,829,4796,4282,159,4043,2212,199,3638,2835
81,1136125,20260624134028346645,memory_limit_exceeded,,,,79.989636,,,,,,,,,,,,
82,1150325,20260624134028346645,memory_limit_exceeded,,,,156.317270,,,,,,,,,,,,
83,1164525,20260624134028346645,memory_limit_exceeded,,,,79.525545,,,,,,,,,,,,
84,1178725,20260624134028346645,success,,,,77.958477,295,38543,852,4088,7311,3051,1054,3543,2375,354,9511,2804
85,1192925,20260624134028346645,success,,,,73.593818,267,38492,902,1586,4902,4733,194,3797,6214,328,4647,6605
86,1207125,20260624134028346645,success,,,,73.960857,551,38803,858,797,7569,6416,198,3995,2319,338,5068,2189
87,1221325,20260624134028346645,success,,,,75.709795,42,38701,867,869,4834,4308,195,9210,4777,430,5364,5106
88,1235525,20260624134028346645,success,,,,72.179650,280,39031,1780,820,4796,4419,161,9168,2992,557,4622,2553
89,1249725,20260624134028346645,success,,,,65.493725,212,39027,890,1660,4807,4515,187,3377,2339,310,4666,2700
90,1263925,20260624134028346645,success,,,,93.036725,170,39004,842,879,7267,6266,171,7283,5359,269,11223,5616
91,1278125,20260624134028346645,success,,,,81.455496,142,39105,868,822,9738,3929,166,3662,6443,273,10983,4180
92,1292325,20260624134028346645,success,,,,78.199158,111,39708,2310,803,9649,4227,139,10467,2764,279,3762,2722
93,1306525,20260624134028346645,success,,,,70.601101,452,39116,913,1685,7277,2770,154,3377,2113,290,4345,7034
94,1320725,20260624134028346645,success,,,,90.177568,70,38650,931,815,14133,2926,287,8560,1937,332,7922,5205
95,1334925,20260624134028346645,success,,,,65.882342,349,39016,850,822,7078,2755,353,3827,2490,310,4624,2581
96,1349125,20260624134028346645,success,,,,69.888711,455,38750,908,827,7700,2999,193,4023,2151,338,4905,5726
97,1363325,20260624134028346645,success,,,,80.055001,120,39222,1650,824,7948,4145,160,8928,3265,272,10255,2154
98,1377525,20260624134028346645,success,,,,73.442907,620,38577,1798,801,5004,4225,176,7429,5994,367,4543,3050
99,1391725,20260624134028346645,success,,,,83.466720,496,38384,897,796,4793,4458,186,11269,4207,640,11073,5087
100,1405925,20260624134028346645,success,,,,74.925030,504,38700,873,850,7648,2874,761,3729,2575,463,8242,6545
101,1420125,20260624134028346645,success,,,,80.964325,82,38924,3291,802,4882,4431,191,3733,6494,276,9424,7163
102,1434325,20260624134028346645,success,,,,89.951429,58,38333,860,1583,7168,10890,145,8248,5007,464,3615,5537
103,1448525,20260624134028346645,success,,,,85.514048,477,38477,864,4417,7889,2859,257,3838,5815,323,12987,6204
104,1462725,20260624134028346645,success,,,,83.930512,322,38972,880,1613,7024,2779,1011,9461,2153,261,8700,3870
105,1476925,20260624134028346645,memory_limit_exceeded,,,,235.380790,,,,,,,,,,,,
106,1491125,20260624134028346645,success,,,,74.943200,248,38666,869,833,7199,2826,238,9381,2192,271,4869,6319
107,1505325,20260624134028346645,memory_limit_exceeded,,,,103.833848,,,,,,,,,,,,
108,1519525,20260624134028346645,memory_limit_exceeded,,,,101.154662,,,,,,,,,,,,
109,1533725,20260624134028346645,memory_limit_exceeded,,,,80.956813,,,,,,,,,,,,
110,1547925,20260624134028346645,success,,,,69.948556,252,38826,868,840,7171,2816,162,3581,6467,382,4427,3089
111,1562125,20260624134028346645,success,,,,74.547156,82,38950,890,857,4813,4621,338,9504,6843,339,4123,2236
112,1576325,20260624134028346645,success,,,,71.783591,194,39161,881,850,10531,2896,185,3643,5053,552,3799,3123
113,1590525,20260624134028346645,success,,,,71.420465,239,39155,1720,840,4746,2792,275,3661,2232,303,12115,2408
114,1604725,20260624134028346645,success,,,,78.211877,161,38356,866,823,6694,6667,177,4050,6739,431,9949,2206
115,1618925,20260624134028346645,memory_limit_exceeded,,,,86.421448,,,,,,,,,,,,
116,1633125,20260624134028346645,success,,,,83.703393,245,39115,823,1640,14643,7005,385,7860,2539,408,3913,4069
117,1647325,20260624134028346645,success,,,,76.671097,215,38667,1675,1534,7145,2895,274,3338,2507,285,10314,6458
118,1661525,20260624134028346645,success,,,,72.958333,384,38699,849,1698,7386,5915,177,3738,2778,358,7904,2183
119,1675725,20260624134028346645,success,,,,76.236267,126,39473,931,813,4748,4615,288,9275,2089,321,10589,2024
120,1689925,20260624134028346645,success,,,,79.214083,241,38742,866,849,7293,6422,152,3681,7572,298,9857,2193
121,1704125,20260624134028346645,success,,,,75.947968,525,38853,869,780,7222,2868,195,3415,5909,608,10073,3330
122,1718325,20260624134028346645,success,,,,71.258961,223,38601,2563,809,4767,6518,475,3463,2275,369,4715,4868
123,1732525,20260624134028346645,success,,,,80.128736,444,38794,1619,813,7516,2852,158,7307,6810,275,9995,2412
124,1746725,20260624134028346645,success,,,,70.100779,144,39016,1795,1672,4792,4512,289,3786,2235,287,4450,5139
