trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,50,20260624134028346645,success,,,,12.558318,65,1350,709,437,1938,1039,170,2935,1375,234,1131,657
2,14250,20260624134028346645,success,,,,12.668782,37,1349,488,241,2766,1031,291,997,1595,347,2449,616
3,28450,20260624134028346645,success,,,,10.896883,50,1354,269,236,955,1352,195,2660,1544,222,1044,559
4,42650,20260624134028346645,success,,,,11.313047,63,1334,268,225,3344,954,151,1240,598,99,1193,1378
5,56850,20260624134028346645,success,,,,9.454975,77,1317,285,223,2020,1104,491,961,662,261,1027,577
6,71050,20260624134028346645,success,,,,13.144186,52,1350,279,227,2451,1056,130,983,1506,303,2207,1615
7,85250,20260624134028346645,success,,,,19.228180,68,1320,271,650,3626,1004,158,2858,2117,160,3962,658
8,99450,20260624134028346645,success,,,,11.242811,40,1354,491,226,1049,1521,261,1250,619,150,2383,1461
9,113650,20260624134028346645,success,,,,16.184350,61,1340,286,404,2083,997,328,3580,605,103,1514,3458
10,127850,20260624134028346645,success,,,,11.030217,81,1309,475,213,2041,1069,153,988,682,133,2799,630
11,142050,20260624134028346645,success,,,,11.016920,132,1300,266,217,1316,1172,109,2236,681,354,1016,1768
12,156250,20260624134028346645,success,,,,13.345230,52,1338,267,224,2119,2121,76,1056,1614,490,2866,670
13,170450,20260624134028346645,success,,,,14.356981,77,1345,265,222,2678,488,170,3618,701,527,2087,1622
14,184650,20260624134028346645,success,,,,12.340269,134,1313,282,198,2601,794,238,933,2477,97,1156,1607
15,198850,20260624134028346645,success,,,,13.090397,112,1302,739,233,1083,1897,183,3110,2037,127,1221,585
16,213050,20260624134028346645,success,,,,11.399953,98,1325,268,248,1893,1251,132,932,1506,308,2403,573
17,227250,20260624134028346645,success,,,,12.361265,58,1349,276,229,1620,656,510,986,1766,220,2196,2033
18,241450,20260624134028346645,success,,,,17.079831,64,1324,469,449,2154,1039,156,2541,1631,130,4154,2202
19,255650,20260624134028346645,success,,,,14.229747,111,1288,271,224,4459,522,218,1035,567,346,3225,1503
20,269850,20260624134028346645,success,,,,10.089121,54,1325,292,227,1974,500,315,2395,669,318,1020,561
21,284050,20260624134028346645,success,,,,18.710895,114,1274,672,455,3818,1327,123,3429,776,335,2571,3131
22,298250,20260624134028346645,success,,,,12.247829,34,1369,293,209,1084,586,89,2421,1554,93,2655,1420
