trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,130,20260624134028346645,memory_limit_exceeded,,,,122.476897,,,,,,,,,,,,
2,14330,20260624134028346645,success,,,,109.866961,313,77878,875,830,1838,7945,222,876,547,374,10138,718
3,28530,20260624134028346645,success,,,,112.595161,119,78387,1075,781,1650,6160,468,708,5727,523,11155,758
4,42730,20260624134028346645,success,,,,109.914713,227,76562,1040,938,9893,1190,282,938,526,468,9894,1502
5,56930,20260624134028346645,success,,,,121.322790,287,78204,1026,1727,10218,1173,233,9712,6511,704,900,5240
6,71130,20260624134028346645,memory_limit_exceeded,,,,133.447388,,,,,,,,,,,,
7,85330,20260624134028346645,memory_limit_exceeded,,,,156.890512,,,,,,,,,,,,
8,99530,20260624134028346645,memory_limit_exceeded,,,,125.058885,,,,,,,,,,,,
9,113730,20260624134028346645,success,,,,122.439738,396,77150,827,899,10057,1255,211,9707,6714,523,8972,552
10,127930,20260624134028346645,memory_limit_exceeded,,,,116.909394,,,,,,,,,,,,
11,142130,20260624134028346645,memory_limit_exceeded,,,,137.918896,,,,,,,,,,,,
12,156330,20260624134028346645,success,,,,111.595005,666,78052,3081,961,10227,8541,324,868,500,309,924,689
13,170530,20260624134028346645,success,,,,109.550389,646,77233,1004,2038,12493,1230,237,816,5925,522,844,670
14,184730,20260624134028346645,success,,,,109.563733,521,76610,1362,901,12716,1219,235,706,5379,360,1429,1359
15,198930,20260624134028346645,success,,,,106.705361,294,78606,1067,946,1637,1174,250,770,503,343,9842,6378
16,213130,20260624134028346645,success,,,,114.105337,508,77719,1067,882,10443,6336,403,926,742,785,1256,6680
17,227330,20260624134028346645,success,,,,98.367166,410,78362,1947,760,1851,1240,241,770,5696,415,991,695
18,241530,20260624134028346645,memory_limit_exceeded,,,,120.916324,,,,,,,,,,,,
19,255730,20260624134028346645,memory_limit_exceeded,,,,117.641418,,,,,,,,,,,,
20,269930,20260624134028346645,success,,,,100.060840,591,77315,862,787,11756,1155,257,652,524,403,748,587
21,284130,20260624134028346645,success,,,,109.015855,160,77879,1012,2919,1510,1264,239,889,492,379,9041,6465
22,298330,20260624134028346645,memory_limit_exceeded,,,,116.934316,,,,,,,,,,,,
23,312530,20260624134028346645,success,,,,116.637592,264,78310,880,1591,12755,5968,235,1010,511,434,997,6426
24,326730,20260624134028346645,success,,,,118.855502,554,78286,888,760,13088,1292,231,10749,6027,328,987,927
25,340930,20260624134028346645,success,,,,104.822300,353,78324,1679,756,1791,7987,412,934,483,378,1140,6049
26,355130,20260624134028346645,memory_limit_exceeded,,,,126.941593,,,,,,,,,,,,
27,369330,20260624134028346645,success,,,,113.700283,270,77552,1062,957,12488,6439,505,1336,609,551,825,6061
28,383530,20260624134028346645,success,,,,127.542058,246,76637,865,937,12743,6743,377,9440,475,594,1419,6618
29,397730,20260624134028346645,success,,,,128.719743,506,78477,868,957,10238,8528,261,917,500,476,10527,6196
30,411930,20260624134028346645,memory_limit_exceeded,,,,122.615735,,,,,,,,,,,,
31,426130,20260624134028346645,success,,,,113.026093,414,78191,835,1730,12707,8695,203,767,572,303,916,784
32,440330,20260624134028346645,success,,,,113.992275,391,78634,1003,790,1798,1257,248,744,5572,519,10350,6800
33,454530,20260624134028346645,memory_limit_exceeded,,,,125.728766,,,,,,,,,,,,
34,468730,20260624134028346645,memory_limit_exceeded,,,,126.898620,,,,,,,,,,,,
35,482930,20260624134028346645,success,,,,107.599351,325,77120,1002,911,1616,6134,227,9544,501,636,1951,983
36,497130,20260624134028346645,memory_limit_exceeded,,,,111.998752,,,,,,,,,,,,
37,511330,20260624134028346645,success,,,,114.416274,134,78074,1018,917,10260,8440,769,716,422,310,765,5616
38,525530,20260624134028346645,memory_limit_exceeded,,,,193.108268,,,,,,,,,,,,
39,539730,20260624134028346645,success,,,,126.796652,298,77877,1023,1941,10220,6185,335,9687,504,660,10048,574
40,553930,20260624134028346645,memory_limit_exceeded,,,,119.518096,,,,,,,,,,,,
41,568130,20260624134028346645,success,,,,101.672814,399,77258,1981,946,1571,6135,217,736,5574,361,842,757
42,582330,20260624134028346645,success,,,,103.518249,693,78056,2069,945,1834,1238,261,961,620,349,9811,795
43,596530,20260624134028346645,success,,,,106.597139,608,76719,870,766,10277,6209,412,1025,556,365,1155,590
44,610730,20260624134028346645,success,,,,108.395661,486,78293,2424,769,10039,6572,373,968,927,711,1548,665
45,624930,20260624134028346645,success,,,,103.882288,591,77172,1016,789,1778,7950,431,850,587,427,1233,6147
46,639130,20260624134028346645,success,,,,102.860582,401,78769,878,985,1764,6057,252,905,528,490,1054,6299
47,653330,20260624134028346645,memory_limit_exceeded,,,,124.074579,,,,,,,,,,,,
48,667530,20260624134028346645,success,,,,113.833496,338,77255,848,1840,12662,6473,233,930,524,404,1060,6428
49,681730,20260624134028346645,success,,,,107.857551,631,77600,996,755,1832,8012,373,9883,448,430,1086,696
50,695930,20260624134028346645,success,,,,121.072976,225,77857,4468,1875,9929,6521,425,962,896,322,10314,693
51,710130,20260624134028346645,success,,,,97.065990,490,77337,868,884,1875,1244,222,784,504,476,855,5897
52,724330,20260624134028346645,success,,,,116.805607,115,75890,1005,1597,10132,7657,233,990,686,699,10955,1129
53,738530,20260624134028346645,success,,,,95.532952,518,77323,1106,734,1547,1234,245,753,5470,306,846,707
54,752730,20260624134028346645,memory_limit_exceeded,,,,158.468226,,,,,,,,,,,,
55,766930,20260624134028346645,success,,,,109.004631,740,77190,2957,948,1766,1215,228,937,5583,328,10029,667
56,781130,20260624134028346645,success,,,,103.970997,338,78595,1025,1809,12495,1196,200,894,429,503,856,734
57,795330,20260624134028346645,success,,,,113.134621,409,78950,867,1610,12772,8378,244,1173,954,496,764,592
58,809530,20260624134028346645,success,,,,113.986466,362,78222,832,778,1762,8134,426,9528,7095,643,759,567
59,823730,20260624134028346645,memory_limit_exceeded,,,,126.232869,,,,,,,,,,,,
60,837930,20260624134028346645,success,,,,116.757972,517,77507,870,2752,10224,1194,224,955,5539,662,10414,733
61,852130,20260624134028346645,memory_limit_exceeded,,,,137.674318,,,,,,,,,,,,
62,866330,20260624134028346645,success,,,,96.481698,520,78317,894,807,1772,6050,378,705,562,397,852,672
63,880530,20260624134028346645,success,,,,107.578392,416,78282,865,1009,10110,6199,207,807,654,345,989,766
64,894730,20260624134028346645,success,,,,106.930938,271,78448,1075,778,1699,6014,404,861,459,485,9707,889
65,908930,20260624134028346645,success,,,,100.743874,495,78074,1025,959,10362,1229,265,1036,496,496,994,769
66,923130,20260624134028346645,success,,,,127.512340,528,78329,3113,2046,12780,6402,277,740,531,317,10196,7141
67,937330,20260624134028346645,memory_limit_exceeded,,,,133.203915,,,,,,,,,,,,
68,951530,20260624134028346645,success,,,,107.187697,169,78794,1600,790,9906,6437,226,866,716,346,790,765
69,965730,20260624134028346645,memory_limit_exceeded,,,,125.880348,,,,,,,,,,,,
70,979930,20260624134028346645,success,,,,111.897007,283,78618,1073,936,10392,1229,236,767,670,536,9741,780
71,994130,20260624134028346645,success,,,,116.647086,525,78275,4465,1977,10147,1291,420,912,526,359,10209,771
72,1008330,20260624134028346645,success,,,,113.952308,193,78356,3556,940,10280,1290,265,830,556,483,10509,1384
73,1022530,20260624134028346645,success,,,,97.125560,551,77721,852,1761,1534,6115,320,737,458,475,1002,700
74,1036730,20260624134028346645,success,,,,91.477372,355,78668,849,782,1782,1187,254,963,501,363,866,631
75,1050930,20260624134028346645,memory_limit_exceeded,,,,122.126583,,,,,,,,,,,,
76,1065130,20260624134028346645,memory_limit_exceeded,,,,150.902906,,,,,,,,,,,,
77,1079330,20260624134028346645,success,,,,117.340753,472,77989,1068,1940,12921,1307,250,9964,577,367,985,659
78,1093530,20260624134028346645,success,,,,115.222459,685,77514,1643,750,10266,1186,228,9974,872,674,1391,5151
79,1107730,20260624134028346645,success,,,,108.966455,142,77507,1036,915,12950,6280,199,657,545,349,969,765
80,1121930,20260624134028346645,success,,,,108.331925,358,76571,890,939,10239,1188,229,9809,546,310,755,677
81,1136130,20260624134028346645,success,,,,95.678930,78,77544,1029,940,1838,6065,268,879,480,341,850,798
82,1150330,20260624134028346645,success,,,,128.619993,262,78738,1045,750,12740,5746,196,916,6845,683,9934,5654
83,1164530,20260624134028346645,success,,,,98.686995,255,77833,1107,767,1775,8061,389,723,586,367,1037,806
84,1178730,20260624134028346645,memory_limit_exceeded,,,,123.872876,,,,,,,,,,,,
85,1192930,20260624134028346645,success,,,,101.638879,486,77331,1986,1689,9938,1226,383,783,525,530,850,737
86,1207130,20260624134028346645,success,,,,110.806746,702,78269,873,783,10179,8040,475,1387,661,425,986,792
87,1221330,20260624134028346645,memory_limit_exceeded,,,,120.441805,,,,,,,,,,,,
88,1235530,20260624134028346645,success,,,,107.821200,486,77727,863,898,12410,1383,458,1019,5318,429,1084,568
89,1249730,20260624134028346645,memory_limit_exceeded,,,,126.713334,,,,,,,,,,,,
90,1263930,20260624134028346645,memory_limit_exceeded,,,,120.481865,,,,,,,,,,,,
91,1278130,20260624134028346645,memory_limit_exceeded,,,,121.038275,,,,,,,,,,,,
92,1292330,20260624134028346645,memory_limit_exceeded,,,,115.668549,,,,,,,,,,,,
93,1306530,20260624134028346645,success,,,,95.242412,540,77254,831,779,1582,6102,203,721,554,461,1021,576
94,1320730,20260624134028346645,success,,,,115.715945,241,77287,1047,927,1789,1146,229,9426,5796,304,11317,927
95,1334930,20260624134028346645,success,,,,102.778084,178,78035,1402,977,1589,1141,432,893,661,492,10018,669
96,1349130,20260624134028346645,success,,,,113.041416,301,78469,1063,754,1781,1251,217,9385,588,401,10193,1349
97,1363330,20260624134028346645,success,,,,113.880092,214,77458,819,760,10394,8587,541,724,501,317,1090,6318
98,1377530,20260624134028346645,success,,,,107.725655,98,78178,1069,971,1617,6030,341,706,462,552,9852,1118
99,1391730,20260624134028346645,success,,,,96.086186,90,77777,827,940,1778,6048,256,849,543,560,941,632
100,1405930,20260624134028346645,memory_limit_exceeded,,,,121.777090,,,,,,,,,,,,
101,1420130,20260624134028346645,success,,,,111.403806,325,77225,828,801,1636,6004,308,877,5659,338,10875,585
102,1434330,20260624134028346645,success,,,,113.000928,154,77308,1060,1460,12127,1329,240,758,637,342,9597,675
103,1448530,20260624134028346645,success,,,,107.808103,443,78006,1044,1665,9454,1208,471,914,526,362,869,6120
104,1462730,20260624134028346645,success,,,,103.153427,295,78431,886,796,11937,1223,440,913,515,510,817,720
105,1476930,20260624134028346645,success,,,,115.691347,521,77700,1066,950,11676,8379,692,772,5010,308,884,715
106,1491130,20260624134028346645,success,,,,120.010386,606,78391,854,1687,1856,6127,245,874,5703,313,11692,5537
107,1505330,20260624134028346645,success,,,,112.940708,195,77680,1057,974,12630,7914,212,852,539,300,875,758
108,1519530,20260624134028346645,memory_limit_exceeded,,,,122.679620,,,,,,,,,,,,
109,1533730,20260624134028346645,success,,,,116.024380,445,78118,885,1907,12637,5853,280,769,673,653,931,6850
110,1547930,20260624134028346645,memory_limit_exceeded,,,,122.584080,,,,,,,,,,,,
111,1562130,20260624134028346645,success,,,,119.105483,306,77141,848,960,10105,6335,351,843,438,321,10768,683
112,1576330,20260624134028346645,success,,,,96.012686,246,77586,832,797,1859,6223,372,727,571,312,871,817
113,1590530,20260624134028346645,success,,,,96.440213,349,77611,987,876,1801,6148,251,700,490,444,1060,766
114,1604730,20260624134028346645,memory_limit_exceeded,,,,126.603837,,,,,,,,,,,,
115,1618930,20260624134028346645,memory_limit_exceeded,,,,126.888428,,,,,,,,,,,,
116,1633130,20260624134028346645,success,,,,119.913528,323,77982,992,797,12705,6065,225,1060,5918,515,938,6291
117,1647330,20260624134028346645,success,,,,114.357186,407,77402,3955,930,10075,1256,240,9689,978,580,1706,834
118,1661530,20260624134028346645,memory_limit_exceeded,,,,125.409733,,,,,,,,,,,,
119,1675730,20260624134028346645,memory_limit_exceeded,,,,124.266887,,,,,,,,,,,,
120,1689930,20260624134028346645,success,,,,104.292945,355,78524,1448,942,12688,1129,423,890,520,320,873,753
121,1704130,20260624134028346645,success,,,,93.295520,280,78499,1023,2357,1827,1155,380,744,506,355,1027,632
122,1718330,20260624134028346645,success,,,,99.537655,264,78232,1054,949,1783,7730,374,982,521,356,897,745
123,1732530,20260624134028346645,success,,,,116.127743,96,78081,2153,735,12884,6734,229,835,838,425,1039,6233
124,1746730,20260624134028346645,success,,,,108.723126,670,77718,1058,1959,12769,6850,198,656,477,303,813,567
125,1760930,20260624134028346645,success,,,,106.610012,346,77808,1061,921,1817,1181,360,765,593,334,9553,6154
126,1775130,20260624134028346645,success,,,,106.663375,451,76551,2003,945,1785,6063,377,9573,667,431,905,887
127,1789330,20260624134028346645,success,,,,108.468369,327,78134,844,802,1770,8138,274,10269,1014,492,910,658
128,1803530,20260624134028346645,memory_limit_exceeded,,,,116.418985,,,,,,,,,,,,
129,1817730,20260624134028346645,success,,,,108.851698,367,77560,1068,939,10007,8480,206,821,463,309,805,842
130,1831930,20260624134028346645,success,,,,119.127395,343,78278,880,935,12998,6773,316,8654,630,364,1269,1262
131,1846130,20260624134028346645,success,,,,105.844568,509,77723,1822,3291,1736,1242,230,771,5455,478,1229,6346
132,1860330,20260624134028346645,success,,,,105.357392,517,75793,2172,928,9978,6486,203,723,702,794,1481,827
133,1874530,20260624134028346645,success,,,,104.111325,185,77754,1062,753,12749,1318,239,976,515,496,1082,577
134,1888730,20260624134028346645,success,,,,122.810097,153,78023,2438,772,10130,6551,233,10685,585,621,898,6473
135,1902930,20260624134028346645,memory_limit_exceeded,,,,130.208137,,,,,,,,,,,,
136,1917130,20260624134028346645,success,,,,113.402558,550,76611,1670,924,1576,7768,266,10154,508,337,1067,6740
137,1931330,20260624134028346645,success,,,,125.126243,530,78722,3979,960,12530,7837,453,663,5804,353,1073,725
138,1945530,20260624134028346645,memory_limit_exceeded,,,,119.152857,,,,,,,,,,,,
139,1959730,20260624134028346645,success,,,,106.334046,325,77431,1083,957,1777,6066,209,867,478,347,9935,812
140,1973930,20260624134028346645,memory_limit_exceeded,,,,1995.386373,,,,,,,,,,,,
141,1988130,20260624134028346645,success,,,,112.995476,279,77790,1699,943,12606,8612,483,790,518,373,1562,1165
