trial_number,seed,run_id,trial_status,error_type,failure_stage,error_message,trial_elapsed_seconds,A1_ms,A2_ms,A3_ms,B1_ms,B2_ms,B3_ms,B4_ms,B5_ms,B6_ms,B7_ms,B8_ms,B9_ms
1,88,20260624134028346645,success,,,,29.463290,133,9028,476,839,3865,3568,90,2997,1818,122,3919,1511
2,14288,20260624134028346645,success,,,,33.805597,77,9090,453,871,4240,2396,89,5223,1804,244,3076,5038
3,28488,20260624134028346645,success,,,,31.688828,232,9055,858,1340,2302,4737,149,3150,2690,121,3668,2309
4,42688,20260624134028346645,success,,,,32.500188,324,9133,444,419,5664,3055,70,2862,1740,124,3546,2042
5,56888,20260624134028346645,success,,,,31.859536,147,9066,1210,389,4008,1898,85,3306,1973,127,6076,2375
6,71088,20260624134028346645,success,,,,31.517519,232,8982,436,901,5699,1361,85,3408,1714,218,3497,1996
7,85288,20260624134028346645,success,,,,35.871874,82,9003,781,423,5729,2286,309,3054,4679,181,4020,3902
8,99488,20260624134028346645,success,,,,31.204911,151,9075,1042,682,3924,2374,106,3518,1869,123,3474,1297
9,113688,20260624134028346645,success,,,,32.701111,86,8958,444,856,4347,2443,117,3612,1744,124,5749,2526
10,127888,20260624134028346645,success,,,,34.065425,142,9098,445,399,5797,3671,70,3022,3612,149,3518,2842
11,142088,20260624134028346645,java_exception,failure,A3,Repair failed: ExecutionException: java.lang.NullPointerException: operands cannot be null or empty,10.111789,101,9196,445,,,,,,,,,
12,156288,20260624134028346645,success,,,,29.436843,210,9076,460,401,2303,3827,101,3289,2744,157,3875,2102
13,170488,20260624134028346645,success,,,,29.435539,133,9094,457,418,3992,1768,109,2139,1240,274,6655,2269
14,184688,20260624134028346645,success,,,,31.044216,176,9161,466,411,5674,3326,112,2892,1778,125,3227,2579
15,198888,20260624134028346645,success,,,,29.489403,191,9110,1676,397,2448,3771,72,3464,1816,192,3641,1380
16,213088,20260624134028346645,success,,,,38.972051,128,9188,449,386,5472,1783,83,9271,1658,211,6469,2508
17,227288,20260624134028346645,success,,,,35.354247,282,9075,692,408,5645,3664,91,3469,3525,160,4109,2856
18,241488,20260624134028346645,success,,,,32.675463,153,9062,429,418,4037,3716,92,3067,1875,184,6077,2520
19,255688,20260624134028346645,success,,,,32.289308,195,9142,451,420,4015,3825,96,3403,2781,138,4123,2645
20,269888,20260624134028346645,success,,,,32.705497,121,9214,484,396,5790,3322,89,3067,2088,164,3278,3220
21,284088,20260624134028346645,success,,,,28.344591,143,9270,478,1276,3964,2443,291,2066,1919,131,3460,1945
22,298288,20260624134028346645,success,,,,30.835850,177,9225,448,433,3908,2407,96,3456,1980,142,3443,3990
23,312488,20260624134028346645,success,,,,33.944435,173,9147,454,409,2496,2312,92,6429,3382,149,3667,2186
24,326688,20260624134028346645,success,,,,31.613323,49,9259,885,740,2450,3791,93,3278,1829,230,3746,3032
25,340888,20260624134028346645,success,,,,34.165659,161,9119,448,407,3420,2652,173,5524,1924,235,7477,1561
26,355088,20260624134028346645,success,,,,39.620743,268,9188,774,758,4270,5841,82,3337,1847,190,8040,2478
27,369288,20260624134028346645,success,,,,26.632522,40,9065,436,984,2264,1297,95,3356,1766,138,3456,2892
28,383488,20260624134028346645,success,,,,30.712770,153,9120,468,401,2514,2476,90,3516,2735,126,2379,3156
29,397688,20260624134028346645,success,,,,33.485271,144,9176,458,976,2445,2120,114,5476,1979,124,7094,2084
30,411888,20260624134028346645,success,,,,33.803414,161,9118,889,406,2320,4832,85,3618,1485,150,3719,5640
31,426088,20260624134028346645,success,,,,35.008796,70,9027,1189,890,3946,1278,207,3595,3158,226,7964,2340
32,440288,20260624134028346645,success,,,,34.887671,181,9055,454,764,3954,2334,94,6233,2300,159,4217,3964
33,454488,20260624134028346645,success,,,,31.326594,45,9068,455,398,3893,3599,266,3104,2318,158,4089,2728
34,468688,20260624134028346645,success,,,,33.118924,187,9175,807,396,5574,2702,95,5185,2200,320,2698,2577
35,482888,20260624134028346645,success,,,,37.426900,251,8994,453,389,5581,3933,99,3145,2013,139,6520,1074
36,497088,20260624134028346645,success,,,,35.352346,174,9055,466,425,2449,4829,73,3755,1750,138,5983,1866
37,511288,20260624134028346645,success,,,,36.618733,145,9202,458,399,3220,4828,75,7401,1991,253,5537,2096
38,525488,20260624134028346645,success,,,,31.095787,173,8969,465,971,2507,3728,90,3352,1773,147,3604,2032
39,539688,20260624134028346645,success,,,,33.582714,211,9114,1352,383,6069,3660,74,3500,1230,124,3470,1409
40,553888,20260624134028346645,success,,,,36.803141,154,9199,796,702,5764,1294,86,3392,2216,173,6102,2367
41,568088,20260624134028346645,success,,,,30.379952,225,9188,939,959,3945,2929,86,3028,1146,127,3857,2211
42,582288,20260624134028346645,success,,,,28.485708,39,9105,1166,809,2260,2881,74,3136,1979,124,3857,2025
43,596488,20260624134028346645,success,,,,33.685306,187,9035,451,399,5567,4286,139,2991,2091,151,2348,4691
44,610688,20260624134028346645,success,,,,36.129416,208,9009,443,897,7589,2487,76,2971,4196,140,4570,2396
45,624888,20260624134028346645,success,,,,30.047360,247,9040,486,417,3939,1330,83,3173,2017,122,3948,3010
46,639088,20260624134028346645,success,,,,31.607287,108,9160,462,418,3973,4183,98,2895,2216,157,3369,2627
47,653288,20260624134028346645,success,,,,38.902527,229,9083,444,1257,9611,3677,98,3505,2716,248,3368,1425
48,667488,20260624134028346645,success,,,,32.136207,278,9038,805,806,3984,3683,124,1982,2180,126,3861,2678
49,681688,20260624134028346645,success,,,,29.265167,59,9160,449,410,5509,1305,87,2942,1825,136,3639,2409
